peak_name,gene_name
Merged-chrX-9335609-1,Cybb
Merged-chrX-9356917-1,Cybb
Merged-chrX-9374172-1,Cybb
Merged-chrX-9402206-1,Cybb
Merged-chrX-9407345-1,Cybb
Merged-chrX-9412929-1,Cybb
Merged-chrX-9447490-6,Cybb
Merged-chrX-9452610-1,Cybb
Merged-chrX-9459807-1,Cybb
Merged-chrX-9466978-1,Cybb
Merged-chrX-9467240-5,Cybb
Merged-chrX-9469302-1,Cybb
Merged-chrX-9471033-12,Cybb
Merged-chrX-9473974-2,Cybb
Merged-chrX-9480548-1,Cybb
Merged-chrX-9559148-1,Cybb
Merged-chrX-57107136-2,Gm14718
Merged-chrX-57116860-1,"Gm14718,Cd40lg"
Merged-chrX-57137888-5,"Gm14718,Cd40lg"
Merged-chrX-57144197-3,"Gm14718,Cd40lg"
Merged-chrX-57147266-1,"Gm14718,Cd40lg"
Merged-chrX-57166772-4,"Gm14718,Cd40lg"
Merged-chrX-57167316-1,"Gm14718,Cd40lg"
Merged-chrX-57167921-1,"Gm14718,Cd40lg"
Merged-chrX-57177413-14,"Gm14718,Cd40lg"
Merged-chrX-57181131-7,"Gm14718,Cd40lg"
Merged-chrX-57182623-1,"Gm14718,Cd40lg"
Merged-chrX-57183533-1,"Gm14718,Cd40lg"
Merged-chrX-57185024-28,"Gm14718,Cd40lg"
Merged-chrX-57186459-4,"Gm14718,Cd40lg"
Merged-chrX-57188655-1,"Gm14718,Cd40lg"
Merged-chrX-57189056-2,"Gm14718,Cd40lg"
Merged-chrX-57189542-28,"Gm14718,Cd40lg"
Merged-chrX-57194937-1,"Gm14718,Cd40lg"
Merged-chrX-57196453-57,"Gm14718,Cd40lg"
Merged-chrX-57196760-1,"Gm14718,Cd40lg"
Merged-chrX-57200602-9,"Gm14718,Cd40lg"
Merged-chrX-57210761-17,"Gm14718,Cd40lg"
Merged-chrX-57211994-2,"Gm14718,Cd40lg"
Merged-chrX-57213311-1,"Gm14718,Cd40lg"
Merged-chrX-57214085-1,"Gm14718,Cd40lg"
Merged-chrX-57216458-31,"Gm14718,Cd40lg"
Merged-chrX-57222141-33,"Gm14718,Cd40lg"
Merged-chrX-57228321-28,"Gm14718,Cd40lg"
Merged-chrX-57230112-3,"Gm14718,Cd40lg"
Merged-chrX-57232156-1,"Gm14718,Cd40lg"
Merged-chrX-57236213-1,"Gm14718,Cd40lg"
Merged-chrX-57237906-1,"Gm14718,Cd40lg"
Merged-chrX-57238880-1,"Gm14718,Cd40lg"
Merged-chrX-57253728-55,"Gm14718,Cd40lg"
Merged-chrX-57260898-31,"Gm14718,Cd40lg"
Merged-chrX-57274818-1,"Gm14718,Cd40lg"
Merged-chrX-57277774-5,"Gm14718,Cd40lg"
Merged-chrX-57297359-1,"Gm14718,Cd40lg"
Merged-chrX-57303690-1,"Gm14718,Cd40lg"
Merged-chrX-57304965-60,Cd40lg
Merged-chrX-57306950-3,Cd40lg
Merged-chrX-57309026-1,Cd40lg
Merged-chrX-57310172-17,Cd40lg
Merged-chrX-57310610-17,Cd40lg
Merged-chrX-57311712-9,Cd40lg
Merged-chrX-73622856-1,Abcd1
Merged-chrX-73632638-1,Abcd1
Merged-chrX-73632903-1,Abcd1
Merged-chrX-73634936-1,Abcd1
Merged-chrX-73635632-2,Abcd1
Merged-chrX-73639379-10,Abcd1
Merged-chrX-73639997-1,Abcd1
Merged-chrX-73640358-1,Abcd1
Merged-chrX-73654368-27,Abcd1
Merged-chrX-73655747-4,Abcd1
Merged-chrX-73659605-12,Abcd1
Merged-chrX-73660154-1,Abcd1
Merged-chrX-73663356-3,Abcd1
Merged-chrX-73672291-31,Abcd1
Merged-chrX-73672783-1,Abcd1
Merged-chrX-73673379-8,Abcd1
Merged-chrX-73675715-1,Abcd1
Merged-chrX-73678950-1,Abcd1
Merged-chrX-73682691-1,Abcd1
Merged-chrX-73687261-1,Abcd1
Merged-chrX-73691372-12,Abcd1
Merged-chrX-73700684-2,Abcd1
Merged-chrX-73706923-1,Abcd1
Merged-chrX-73715682-1,Abcd1
Merged-chrX-73716437-65,Abcd1
Merged-chrX-73717023-1,Abcd1
Merged-chrX-73718774-5,Abcd1
Merged-chrX-73723748-1,Abcd1
Merged-chrX-73737159-1,Abcd1
Merged-chrX-73738336-1,Abcd1
Merged-chrX-73751175-1,Abcd1
Merged-chrX-73754082-1,Abcd1
Merged-chrX-73774398-6,Abcd1
Merged-chrX-73777920-1,Abcd1
Merged-chrX-73779134-1,Abcd1
Merged-chrX-73780290-1,Abcd1
Merged-chrX-73780774-1,Abcd1
Merged-chrX-73786597-9,Abcd1
Merged-chrX-73786990-77,Abcd1
Merged-chrX-73787501-3,Abcd1
Merged-chrX-73798657-25,Abcd1
Merged-chrX-73815556-1,Abcd1
Merged-chrX-73824534-1,Abcd1
Merged-chrX-73824913-14,Abcd1
Merged-chrX-73830793-1,Abcd1
Merged-chrX-75018328-2,Mpp1
Merged-chrX-75021468-1,Mpp1
Merged-chrX-75029242-1,Mpp1
Merged-chrX-75029783-1,Mpp1
Merged-chrX-75032176-34,Mpp1
Merged-chrX-75034276-2,Mpp1
Merged-chrX-75035422-23,Mpp1
Merged-chrX-75036854-1,Mpp1
Merged-chrX-75047710-1,Mpp1
Merged-chrX-75049239-1,Mpp1
Merged-chrX-75056319-34,Mpp1
Merged-chrX-75056625-1,Mpp1
Merged-chrX-75059160-3,Mpp1
Merged-chrX-75061823-36,Mpp1
Merged-chrX-75062384-3,Mpp1
Merged-chrX-75072584-1,Mpp1
Merged-chrX-75082528-1,Mpp1
Merged-chrX-75084861-70,Mpp1
Merged-chrX-75085830-12,Mpp1
Merged-chrX-75095947-62,Mpp1
Merged-chrX-75108653-2,Mpp1
Merged-chrX-75113127-1,Mpp1
Merged-chrX-75113590-1,Mpp1
Merged-chrX-75127232-2,Mpp1
Merged-chrX-75128738-4,Mpp1
Merged-chrX-75129687-1,Mpp1
Merged-chrX-75131004-60,Mpp1
Merged-chrX-75139729-1,Mpp1
Merged-chrX-75140098-1,Mpp1
Merged-chrX-75143296-9,Mpp1
Merged-chrX-75155752-25,Mpp1
Merged-chrX-75162465-1,Mpp1
Merged-chrX-75166236-1,Mpp1
Merged-chrX-75174050-1,Mpp1
Merged-chrX-75191525-1,Mpp1
Merged-chrX-75213022-1,Mpp1
Merged-chrX-77412867-1,Tbl1x
Merged-chrX-77414387-1,Tbl1x
Merged-chrX-77415952-1,Tbl1x
Merged-chrX-77417957-2,Tbl1x
Merged-chrX-77423344-1,Tbl1x
Merged-chrX-77425885-1,Tbl1x
Merged-chrX-77427968-3,Tbl1x
Merged-chrX-77428283-1,Tbl1x
Merged-chrX-77430042-1,Tbl1x
Merged-chrX-77433606-67,Tbl1x
Merged-chrX-77448597-2,Tbl1x
Merged-chrX-77459767-1,Tbl1x
Merged-chrX-77465728-8,Tbl1x
Merged-chrX-77469418-29,Tbl1x
Merged-chrX-77471093-1,Tbl1x
Merged-chrX-77480406-1,Tbl1x
Merged-chrX-77489241-2,Tbl1x
Merged-chrX-77498384-1,Tbl1x
Merged-chrX-77501517-1,Tbl1x
Merged-chrX-77503815-1,Tbl1x
Merged-chrX-77506025-1,Tbl1x
Merged-chrX-77508432-6,Tbl1x
Merged-chrX-77509325-55,Tbl1x
Merged-chrX-77510063-16,Tbl1x
Merged-chrX-77510836-38,Tbl1x
Merged-chrX-77511529-1,Tbl1x
Merged-chrX-77511955-35,Tbl1x
Merged-chrX-77514056-1,Tbl1x
Merged-chrX-77517870-45,Tbl1x
Merged-chrX-77520850-9,Tbl1x
Merged-chrX-77522473-2,Tbl1x
Merged-chrX-77522976-14,Tbl1x
Merged-chrX-77523485-1,Tbl1x
Merged-chrX-77525624-1,Tbl1x
Merged-chrX-77526425-2,Tbl1x
Merged-chrX-77531228-2,Tbl1x
Merged-chrX-77531948-12,Tbl1x
Merged-chrX-77534930-1,Tbl1x
Merged-chrX-77537019-1,Tbl1x
Merged-chrX-77539493-1,Tbl1x
Merged-chrX-77543377-1,Tbl1x
Merged-chrX-77543976-1,Tbl1x
Merged-chrX-77545012-2,Tbl1x
Merged-chrX-77545591-14,Tbl1x
Merged-chrX-77546027-1,Tbl1x
Merged-chrX-77546707-14,Tbl1x
Merged-chrX-77547256-1,Tbl1x
Merged-chrX-77554604-9,Tbl1x
Merged-chrX-77556133-1,Tbl1x
Merged-chrX-77561111-1,Tbl1x
Merged-chrX-77566125-1,Tbl1x
Merged-chrX-77568109-3,Tbl1x
Merged-chrX-77570426-1,Tbl1x
Merged-chrX-77572242-1,Tbl1x
Merged-chrX-77573524-1,Tbl1x
Merged-chrX-77575743-1,Tbl1x
Merged-chrX-77580129-51,Tbl1x
Merged-chrX-77580855-8,Tbl1x
Merged-chrX-77586197-48,Tbl1x
Merged-chrX-77595515-1,Tbl1x
Merged-chrX-77598977-1,Tbl1x
Merged-chrX-77600629-1,Tbl1x
Merged-chrX-77601666-1,Tbl1x
Merged-chrX-77605804-1,Tbl1x
Merged-chrX-77607731-5,Tbl1x
Merged-chrX-77608311-1,Tbl1x
Merged-chrX-77609284-16,Tbl1x
Merged-chrX-77610843-1,Tbl1x
Merged-chrX-77612149-3,Tbl1x
Merged-chrX-77613824-1,Tbl1x
Merged-chrX-77615070-1,Tbl1x
Merged-chrX-77617633-1,Tbl1x
Merged-chrX-77618037-3,Tbl1x
Merged-chrX-77626489-1,Tbl1x
Merged-chrX-77632399-1,Tbl1x
Merged-chrX-77638279-43,Tbl1x
Merged-chrX-77639798-1,Tbl1x
Merged-chrX-77640089-1,Tbl1x
Merged-chrX-77640506-30,Tbl1x
Merged-chrX-77651789-2,Tbl1x
Merged-chrX-77658796-1,Tbl1x
Merged-chrX-77665472-2,Tbl1x
Merged-chrX-77676494-1,Tbl1x
Merged-chrX-77696549-1,Tbl1x
Merged-chrX-77707018-1,Tbl1x
Merged-chrX-77710056-1,Tbl1x
Merged-chrX-77715761-1,Tbl1x
Merged-chrX-77720553-15,Tbl1x
Merged-chrX-77722665-1,Tbl1x
Merged-chrX-77722938-1,Tbl1x
Merged-chrX-77734212-3,Tbl1x
Merged-chrX-77741576-32,Tbl1x
Merged-chrX-77742849-1,Tbl1x
Merged-chrX-77743211-1,Tbl1x
Merged-chrX-77744448-21,Tbl1x
Merged-chrX-94445749-1,Maged1
Merged-chrX-94454151-1,Maged1
Merged-chrX-94485158-1,Maged1
Merged-chrX-94493259-1,Maged1
Merged-chrX-94493477-1,Maged1
Merged-chrX-94513840-1,Maged1
Merged-chrX-94539790-1,Maged1
Merged-chrX-94540826-16,Maged1
Merged-chrX-94542215-33,Maged1
Merged-chrX-94543114-1,Maged1
Merged-chrX-94545127-5,Maged1
Merged-chrX-94547530-1,Maged1
Merged-chrX-94548447-3,Maged1
Merged-chrX-94555982-1,Maged1
Merged-chrX-94581205-1,Maged1
Merged-chrX-94590094-1,Maged1
Merged-chrX-94625325-7,Maged1
Merged-chrX-94629963-1,Maged1
Merged-chrX-94636162-7,Maged1
Merged-chrX-109098085-1,Gm6377
Merged-chrX-109100659-2,Gm6377
Merged-chrX-109103346-2,Gm6377
Merged-chrX-109107873-3,Gm6377
Merged-chrX-109110054-1,Gm6377
Merged-chrX-109114020-31,Gm6377
Merged-chrX-109115947-1,Gm6377
Merged-chrX-109120015-2,Gm6377
Merged-chrX-109121531-2,Gm6377
Merged-chrX-109122439-1,Gm6377
Merged-chrX-109132748-1,Gm6377
Merged-chrX-109139422-2,Gm6377
Merged-chrX-109146477-1,Gm6377
Merged-chrX-109151383-1,Gm6377
Merged-chrX-109161128-10,Gm6377
Merged-chrX-109172743-1,Gm6377
Merged-chrX-109191045-6,Gm6377
Merged-chrX-109196675-6,Gm6377
Merged-chrX-109208071-4,Gm6377
Merged-chrX-109210751-1,Gm6377
Merged-chrX-109221022-1,Gm6377
Merged-chrX-109232283-1,Gm6377
Merged-chrX-109242017-1,Gm6377
Merged-chrX-109254154-1,Gm6377
Merged-chrX-134704394-1,Armcx2
Merged-chrX-134717976-34,Armcx2
Merged-chrX-134718309-3,Armcx2
Merged-chrX-134718711-13,Armcx2
Merged-chrX-134727917-1,Armcx2
Merged-chrX-134729947-18,Armcx2
Merged-chrX-134733211-1,Armcx2
Merged-chrX-134742042-12,Armcx2
Merged-chrX-134746378-1,Armcx2
Merged-chrX-134746638-19,Armcx2
Merged-chrX-134751445-60,Armcx2
Merged-chrX-134756592-52,Armcx2
Merged-chrX-134757204-10,Armcx2
Merged-chrX-134757673-3,Armcx2
Merged-chrX-134762000-1,Armcx2
Merged-chrX-134769227-1,Armcx2
Merged-chrX-134797653-1,Armcx2
Merged-chrX-134808027-16,Armcx2
Merged-chrX-134809048-48,Armcx2
Merged-chrX-134831032-1,Armcx2
Merged-chrX-134860996-1,Armcx2
Merged-chrX-134867787-1,Armcx2
Merged-chrX-134880066-9,Armcx2
Merged-chrX-134883861-1,Armcx2
Merged-chrX-134898589-2,Armcx2
Merged-chrX-134901662-1,Armcx2
Merged-chrX-151755780-1,Huwe1
Merged-chrX-151760185-1,Huwe1
Merged-chrX-151780517-23,Huwe1
Merged-chrX-151783176-3,Huwe1
Merged-chrX-151795455-1,Huwe1
Merged-chrX-151800786-17,Huwe1
Merged-chrX-151801211-5,Huwe1
Merged-chrX-151801460-1,Huwe1
Merged-chrX-151803355-91,Huwe1
Merged-chrX-151804675-1,Huwe1
Merged-chrX-151813721-1,Huwe1
Merged-chrX-151814846-1,Huwe1
Merged-chrX-151817896-4,Huwe1
Merged-chrX-151824148-1,Huwe1
Merged-chrX-151826102-1,Huwe1
Merged-chrX-151827545-1,Huwe1
Merged-chrX-151827783-1,Huwe1
Merged-chrX-151828067-1,Huwe1
Merged-chrX-151850101-1,Huwe1
Merged-chrX-151880560-1,Huwe1
Merged-chrX-151894044-1,Huwe1
Merged-chrX-151902175-1,Huwe1
Merged-chrX-151903317-1,Huwe1
Merged-chrX-151906401-1,Huwe1
Merged-chrX-151908611-1,Huwe1
Merged-chrX-151909864-2,Huwe1
Merged-chrX-151913796-1,Huwe1
Merged-chrX-151918085-1,Huwe1
Merged-chrX-151936078-2,Huwe1
Merged-chrX-151944484-1,Huwe1
Merged-chrX-151947183-2,Huwe1
Merged-chrX-151948583-1,Huwe1
Merged-chrX-151951363-16,Huwe1
Merged-chrX-151964126-2,Huwe1
Merged-chrX-151968152-1,Huwe1
Merged-chrX-151975073-1,Huwe1
Merged-chrX-151982872-1,Huwe1
Merged-chrX-151992007-1,Huwe1
Merged-chrX-152001333-1,Huwe1
Merged-chrX-152001851-59,Huwe1
Merged-chrX-152003035-2,Huwe1
Merged-chrX-152011482-1,Huwe1
Merged-chrX-152016344-61,Huwe1
Merged-chrX-152016932-7,Huwe1
