peak_name,gene_name
Merged-chrX-7670651-21,Tfe3
Merged-chrX-7671377-11,Tfe3
Merged-chrX-7673017-1,Tfe3
Merged-chrX-7673940-35,Tfe3
Merged-chrX-7674543-1,Tfe3
Merged-chrX-7674852-7,Tfe3
Merged-chrX-7679913-56,Tfe3
Merged-chrX-7693043-18,Tfe3
Merged-chrX-7694720-1,Tfe3
Merged-chrX-7697117-58,Tfe3
Merged-chrX-7697607-2,Tfe3
Merged-chrX-7710593-1,Tfe3
Merged-chrX-7714542-77,Tfe3
Merged-chrX-7721040-1,Tfe3
Merged-chrX-7722154-48,Tfe3
Merged-chrX-7728499-55,Tfe3
Merged-chrX-7733928-35,Tfe3
Merged-chrX-7734765-2,Tfe3
Merged-chrX-7748409-1,Tfe3
Merged-chrX-7750728-3,Tfe3
Merged-chrX-7751283-1,Tfe3
Merged-chrX-7753817-3,Tfe3
Merged-chrX-7762609-60,Tfe3
Merged-chrX-7763732-2,Tfe3
Merged-chrX-7776845-5,Tfe3
Merged-chrX-7789800-60,"Pim2,Tfe3"
Merged-chrX-7803687-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7815228-2,"Timm17b,Pim2,Tfe3"
Merged-chrX-7816230-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7821647-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7822202-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7824411-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7841516-123,"Timm17b,Pim2,Tfe3"
Merged-chrX-7842423-2,"Timm17b,Pim2,Tfe3"
Merged-chrX-7853062-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7854739-7,"Timm17b,Pim2,Tfe3"
Merged-chrX-7859373-3,"Timm17b,Pim2,Tfe3"
Merged-chrX-7861364-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7863412-5,"Timm17b,Pim2,Tfe3"
Merged-chrX-7864708-1,"Timm17b,Pim2,Tfe3"
Merged-chrX-7865675-67,"Timm17b,Pim2,Tfe3"
Merged-chrX-7867411-3,"Timm17b,Pim2,Tfe3"
Merged-chrX-7878218-62,"Timm17b,Pim2"
Merged-chrX-7878672-1,"Timm17b,Pim2"
Merged-chrX-7879981-27,"Timm17b,Pim2"
Merged-chrX-7884189-58,"Timm17b,Pim2"
Merged-chrX-7885432-1,"Timm17b,Pim2"
Merged-chrX-7892062-1,"Timm17b,Pim2"
Merged-chrX-7898486-1,"Timm17b,Pim2"
Merged-chrX-7899247-79,"Timm17b,Pim2"
Merged-chrX-7915866-7,"Timm17b,Pim2"
Merged-chrX-7919743-1,"Timm17b,Pim2"
Merged-chrX-7924541-1,"Timm17b,Pim2"
Merged-chrX-7937661-1,"Timm17b,Pim2"
Merged-chrX-7947949-60,"Timm17b,Pim2"
Merged-chrX-7950322-1,"Timm17b,Pim2"
Merged-chrX-7951460-1,"Timm17b,Pim2"
Merged-chrX-7964303-7,"Timm17b,Pim2"
Merged-chrX-8089858-1,Ebp
Merged-chrX-8090524-51,Ebp
Merged-chrX-8091206-1,Ebp
Merged-chrX-8096118-1,Ebp
Merged-chrX-8096866-78,Ebp
Merged-chrX-8109533-1,Ebp
Merged-chrX-8115506-2,Ebp
Merged-chrX-8131240-1,Ebp
Merged-chrX-8132403-109,Ebp
Merged-chrX-8136543-1,Ebp
Merged-chrX-8139227-1,Ebp
Merged-chrX-8141185-1,Ebp
Merged-chrX-8141713-1,Ebp
Merged-chrX-8145611-101,Ebp
Merged-chrX-8168466-1,Ebp
Merged-chrX-8171801-1,Ebp
