gene_name,chrom,txStart,txEnd
Xkr4,chr1,3114481,3771498
Rp1,chr1,4190845,4509241
Sox17,chr1,4390927,4597354
Mrpl15,chr1,4673199,4885726
Lypla1,chr1,4707892,4946735
Tcea1,chr1,4757693,4997909
Rgs20,chr1,4809575,5170285
Atp6v1h,chr1,4983085,5262549
Oprk1,chr1,5488492,5706133
Npbwr1,chr1,5813706,6017398
Rb1cc1,chr1,6114661,6376104
Fam150a,chr1,6259330,6494731
St18,chr1,6387230,6960940
Pcmtd1,chr1,6988919,7273628
Sntg1,chr1,8259738,9399877
Rrs1,chr1,9445407,9647455
Adhfe1,chr1,9448045,9677968
2610203C22Rik,chr1,9460832,9731092
3110035E14Rik,chr1,9501266,9727142
Mybl1,chr1,9567410,9800209
Vcpip1,chr1,9618621,9848382
1700034P13Rik,chr1,9647647,9871256
Sgk3,chr1,9698129,10002568
Mcmdc2,chr1,9808637,10040954
Snhg6,chr1,9842024,10044118
Snord87,chr1,9842469,10042543
Tcf24,chr1,9860162,10067485
Ppp1r42,chr1,9868621,10109136
Cops5,chr1,9924599,10138159
Cspp1,chr1,9938217,10236768
Arfgef1,chr1,10037506,10332670
Cpa6,chr1,10224718,10819945
Mir467e,chr1,10608386,10965874
Prex2,chr1,10893464,11403682
A830018L16Rik,chr1,11314104,12075902
Mir6341,chr1,12325985,12526106
Gm17644,chr1,12567562,12773090
Sulf1,chr1,12592429,12960372
Slco5a1,chr1,12766549,13091135
Prdm14,chr1,13013427,13227163
Ncoa2,chr1,13039104,13474083
Tram1,chr1,13464692,13689910
Lactb2,chr1,13525899,13760509
Xkr9,chr1,13568770,13801723
Gm5523,chr1,13685684,13886929
Eya1,chr1,14068957,14410199
Msc,chr1,14653345,14855966
Trpa1,chr1,14772643,15018862
Kcnb2,chr1,15212451,15814214
Terf1,chr1,15705645,15944052
Sbspon,chr1,15753861,15992722
4930444P10Rik,chr1,15965978,16193325
Rpl7,chr1,16001295,16204433
Rdh10,chr1,16005881,16232550
Stau2,chr1,16128809,16619302
Ube2w,chr1,16440787,16719338
Eloc,chr1,16541724,16757119
D030040B21Rik,chr1,16557551,16762278
Tmem70,chr1,16565190,16778275
Ly96,chr1,16588455,16809605
Jph1,chr1,16894939,17197889
Gdap1,chr1,17045372,17264270
Pi15,chr1,17501900,17730939
Gm16070,chr1,17576026,17827646
Crispld1,chr1,17627416,17866207
Crisp4,chr1,18015190,18245902
Defb44-ps,chr1,18110052,18323564
Defb18,chr1,18136472,18337443
Defb41,chr1,18150977,18365138
Tfap2d,chr1,19003021,19268587
Tfap2b,chr1,19108913,19338845
Pkhd1,chr1,19957778,20718057
4930486I03Rik,chr1,20256453,20492300
Lincmd1,chr1,20569881,20782958
Mir206,chr1,20579009,20779082
Mir133b,chr1,20582768,20782887
Il17a,chr1,20630904,20834496
Il17f,chr1,20677145,20884270
Mcm3,chr1,20703013,20920213
6720483E21Rik,chr1,20788649,20990473
Paqr8,chr1,20790621,21038756
Efhc1,chr1,20851625,21090841
Tram2,chr1,20901396,21179225
Tmem14a,chr1,21118574,21330167
Gsta3,chr1,21140584,21365575
Gm4956,chr1,21185245,21398312
Khdc1a,chr1,21249676,21452199
Khdc1c,chr1,21268330,21469743
Khdc1b,chr1,21283555,21486384
Kcnq5,chr1,21298398,22062650
Rims1,chr1,22188421,22905724
4933415F23Rik,chr1,23000473,23202253
Mir30a,chr1,23172268,23372339
Mir30c-2,chr1,23191700,23391784
Ogfrl1,chr1,23266423,23483175
B3gat2,chr1,23661925,23947858
Smap1,chr1,23744824,24022381
Sdhaf4,chr1,23895938,24105640
Fam135a,chr1,23910757,24200341
Col9a1,chr1,24077609,24352738
Col19a1,chr1,24157682,24687437
Lmbrd1,chr1,24578543,24866301
Adgrb3,chr1,24967475,25929707
Gm20172,chr1,25176403,25377954
4931408C20Rik,chr1,26581800,26787460
Gm597,chr1,28676121,28880252
Mir6342,chr1,29321487,29521612
Phf3,chr1,30702341,30963256
Ptp4a1,chr1,30840302,31049755
Gm13363,chr1,30841591,31049710
Gm29669,chr1,30919187,31196454
4931428L18Rik,chr1,31041077,31322656
Lgsn,chr1,31076434,31304725
Pih1d3,chr1,31122838,31324287
Gm4850,chr1,31164846,31368061
Khdrbs2,chr1,32072721,32758569
Gm9839,chr1,32419562,32620999
Gm5415,chr1,32443545,32647293
Prim2,chr1,33353807,33769794
1700001G17Rik,chr1,33569823,33770712
Rab23,chr1,33619895,33842564
Bag2,chr1,33645483,33857750
Zfp451,chr1,33661540,33914595
Gm15455,chr1,33735898,33938914
Bend6,chr1,33752051,34007767
Dst,chr1,33808224,34408662
Mir6896,chr1,34017358,34217431
Mir5103,chr1,34333120,34533199
Ccdc115,chr1,34336669,34539672
Imp4,chr1,34339828,34545747
Ptpn18,chr1,34359745,34573779
Prss39,chr1,34398429,34603062
Cfc1,chr1,34435647,34644311
Prss40,chr1,34452330,34660943
Amer3,chr1,34479692,34690944
AA619741,chr1,34533534,34736210
Arhgef4,chr1,34701721,34912754
Fam168b,chr1,34713217,34943050
Plekhb2,chr1,34749958,34979585
Hs6st1,chr1,35968399,36206446
Uggt1,chr1,36040027,36344302
Mir6897,chr1,36044251,36244313
