gene_name,chrom,txStart,txEnd
1-Mar,chr1,184786766,184811300
1-Mar,chr8,65618039,66471637
2-Mar,chr1,184813067,184845847
2-Mar,chr17,33685691,33718677
3-Mar,chr18,56761715,56925548
4-Mar,chr1,72427111,72536564
5-Mar,chr19,37207544,37224457
6-Mar,chr15,31455898,31531037
7-Mar,chr2,60209935,60248385
8-Mar,chr6,116338021,116409541
9-Mar,chr10,127056049,127060184
10-Mar,chr11,105360797,105456735
11-Mar,chr15,26309047,26409575
1-Sep,chr7,127214441,127218445
2-Sep,chr1,93478992,93509732
3-Sep,chr15,82274934,82294442
4-Sep,chr11,87578388,87590539
5-Sep,chr16,18621810,18629938
6-Sep,chrX,36911271,36989695
7-Sep,chr9,25252438,25308571
8-Sep,chr11,53519735,53549605
9-Sep,chr11,117199660,117362325
10-Sep,chr10,59141626,59221847
11-Sep,chr5,93093415,93181378
12-Sep,chr16,4986857,4997852
14-Sep,chr5,129683390,129708511
0610005C13Rik,chr7,45567794,45575176
0610007P14Rik,chr12,85815454,85824545
0610009B22Rik,chr11,51685384,51688634
0610009L18Rik,chr11,120348677,120351190
0610009O20Rik,chr18,38250248,38262629
0610010B08Rik,chr2,175192004,176636319
0610010F05Rik,chr11,23573250,23633631
0610010K14Rik,chr11,70235203,70237914
0610012G03Rik,chr16,31947050,31948521
0610030E20Rik,chr6,72347316,72353160
0610031O16Rik,chr3,138210716,138239663
0610037L13Rik,chr4,107889825,107897803
0610038B21Rik,chr8,77517055,77518578
0610039H22Rik,chr11,88619250,88623426
0610039K10Rik,chr2,163644849,163645800
0610040B10Rik,chr5,143329307,143332704
0610040F04Rik,chr6,108577035,108660934
0610040J01Rik,chr5,63812494,63899619
0610043K17Rik,chr4,101353782,101399185
1010001N08Rik,chr18,11042036,11052567
1110002J07Rik,chr10,66912189,66920384
1110002L01Rik,chr12,3403882,3426747
1110004E09Rik,chr16,90925810,90934849
1110004F10Rik,chr7,116093379,116105210
1110006O24Rik,chr5,115631048,115631816
1110008F13Rik,chr2,156863121,156873562
1110008L16Rik,chr12,55302636,55382491
1110008P14Rik,chr2,32379100,32381915
1110012L19Rik,chrX,70385912,70389416
1110015O18Rik,chr3,4798707,4814911
1110017D15Rik,chr4,41505008,41517333
1110019D14Rik,chr6,13871568,13896421
1110020A21Rik,chr17,84917181,84957710
1110025L11Rik,chr16,89063409,89064002
1110028F11Rik,chr11,87699523,87705327
1110028F18Rik,chr8,106587142,106594820
1110032A03Rik,chr9,50762827,50768152
1110032F04Rik,chr3,68869585,68872163
1110034G24Rik,chr2,132690282,132751055
1110036E04Rik,chr9,64049828,64054100
1110037F02Rik,chr4,11485957,11551143
1110038B12Rik,chr17,34950235,34952471
1110038F14Rik,chr15,76948260,76950979
1110046J04Rik,chr13,33936031,33960181
1110051M20Rik,chr2,91273239,91444714
1110058D11Rik,chr17,64049861,64050672
1110059E24Rik,chr19,21597312,21652791
1110059G10Rik,chr9,122945088,122951000
1110065P20Rik,chr4,124849484,124850730
1190002N15Rik,chr9,94517863,94538081
1190003K10Rik,chr13,64481245,64497792
1190005I06Rik,chr8,120608601,120634382
1190007I07Rik,chr10,82619850,82623228
1300002E11Rik,chr16,21794346,21809039
1300017J02Rik,chr9,103250529,103288297
1500004A13Rik,chr3,88822009,88832487
1500009C09Rik,chr15,82252396,82260753
1500009L16Rik,chr10,83722864,83762762
1500011B03Rik,chr5,114808195,114813976
1500011K16Rik,chr2,127791376,127792488
1500012K07Rik,chr7,75308695,75331419
1500015A07Rik,chr18,61726389,61728253
1500015L24Rik,chr19,20405287,20422785
1500015O10Rik,chr1,43730601,43742564
1500017E21Rik,chr19,36619417,36689479
1500026H17Rik,chr10,89686362,89700866
1600002D24Rik,chr16,95831122,95929077
1600002H07Rik,chr17,24215055,24220769
1600002K03Rik,chr10,80172943,80175119
1600010M07Rik,chr7,109998376,110006646
1600012H06Rik,chr17,14943183,14945939
1600014C10Rik,chr7,38183216,38197565
1600014C23Rik,chr17,45732863,45733844
1600015I10Rik,chr6,48929895,48933687
1600019K03Rik,chr16,35503169,35509419
1600020E01Rik,chr6,86527329,86564449
1600023N17Rik,chr5,45668700,45669708
1600025M17Rik,chrX,56317607,56320664
1600027J07Rik,chr8,103343877,103347534
1600029I14Rik,chr9,99470420,99474751
1600029O15Rik,chr9,58202896,58208808
1700001C02Rik,chr5,30466076,30484087
1700001C19Rik,chr17,47412733,47437375
1700001D01Rik,chr8,61281521,61288872
1700001F09Rik,chr14,43342383,43347811
1700001G01Rik,chr18,17035507,17137559
