gene_name,chrom,txStart,txEnd
1700020D14Rik,chrY,106149,423296
Gm29089,chrY,106149,423296
Zfy1,chrY,625206,897409
Uba1y,chrY,718712,944224
Kdm5d,chrY,797787,1043811
Eif2s3y,chrY,910611,1128598
Tspy-ps,chrY,955763,1158868
Uty,chrY,997143,1345759
Ddx3y,chrY,1160714,1386613
Usp9y,chrY,1198960,1559782
Zfy2,chrY,2006174,2270409
H2al2b,chrY,2499098,2820674
H2al2c,chrY,2499098,2820674
Sry,chrY,2562470,2763658
Gm21677,chrY,2730679,3510167
Gm21708,chrY,2730679,3883271
Rbmy,chrY,2730679,3883271
Gm10256,chrY,2800988,3012210
Gm10352,chrY,2800988,3012210
Gm4064,chrY,2800988,3012210
Gm21693,chrY,2800988,3478783
Gm21704,chrY,2800988,3478783
Gm3376,chrY,3671672,3883271
Gm20826,chrY,7067019,7736973
Gm20815,chrY,8732248,8935169
Gm20822,chrY,11097161,15983245
Gm20877,chrY,12281988,17195887
Gm21379,chrY,12588109,17502718
Rbm31y,chrY,12588109,17502718
Gm20831,chrY,13152390,18067598
Ssty1,chrY,13276412,21197715
Gm20747,chrY,21064553,81901497
Gm20865,chrY,21142965,73340030
Ssty2,chrY,22412350,80565434
Gm20736,chrY,22735090,82351414
Gm20917,chrY,22931058,79249787
Gm20809,chrY,23843165,72920507
Gm20857,chrY,24088632,26367093
Gm20858,chrY,24088658,26367093
Gm20871,chrY,30397728,59732758
Gm20823,chrY,37857810,72484781
Gm20738,chrY,37857819,65307518
Gm20852,chrY,54085856,66842170
Sly,chrY,55113719,75322053
Gm21943,chrY,55457520,73637718
Gm20816,chrY,64201782,64886299
Gm20867,chrY,64201784,64886299
Gm20806,chrY,67239048,80857210
Gm20854,chrY,83689753,85629519
G530011O06Rik,chrY,90651139,90939406
Erdr1,chrY,90685441,90916465
