peak_name,chr,start,end
Merged-chr2-3093852-1,chr2,3093752,3093952
Merged-chr2-3104590-1,chr2,3104490,3104690
Merged-chr2-3104870-2,chr2,3104717,3105023
Merged-chr2-3105739-1,chr2,3105639,3105839
Merged-chr2-3106241-1,chr2,3106141,3106341
Merged-chr2-3107158-1,chr2,3107058,3107258
Merged-chr2-3108951-1,chr2,3108851,3109051
Merged-chr2-3115435-1,chr2,3115335,3115535
Merged-chr2-3116088-1,chr2,3115988,3116188
Merged-chr2-3118365-22,chr2,3118158,3118739
Merged-chr2-3122320-1,chr2,3122220,3122420
Merged-chr2-3132528-1,chr2,3132428,3132628
Merged-chr2-3133588-1,chr2,3133488,3133688
Merged-chr2-3144947-1,chr2,3144847,3145047
Merged-chr2-3146974-1,chr2,3146874,3147074
Merged-chr2-3150650-1,chr2,3150550,3150750
Merged-chr2-3158913-6,chr2,3158784,3159037
Merged-chr2-3170683-1,chr2,3170583,3170783
Merged-chr2-3176538-1,chr2,3176438,3176638
Merged-chr2-3184996-1,chr2,3184896,3185096
Merged-chr2-3189314-1,chr2,3189214,3189414
Merged-chr2-3190068-1,chr2,3189968,3190168
Merged-chr2-3193841-1,chr2,3193741,3193941
Merged-chr2-3203117-1,chr2,3203017,3203217
Merged-chr2-3207009-2,chr2,3206814,3207205
Merged-chr2-3209023-1,chr2,3208923,3209123
Merged-chr2-3219472-2,chr2,3219370,3219575
Merged-chr2-3225215-1,chr2,3225115,3225315
Merged-chr2-3225430-1,chr2,3225330,3225530
Merged-chr2-3226212-1,chr2,3226112,3226312
Merged-chr2-3228593-1,chr2,3228493,3228693
Merged-chr2-3229251-12,chr2,3229127,3229407
Merged-chr2-3239426-1,chr2,3239326,3239526
Merged-chr2-3242857-1,chr2,3242757,3242957
Merged-chr2-3249385-2,chr2,3249190,3249581
Merged-chr2-3252473-1,chr2,3252373,3252573
Merged-chr2-3256836-1,chr2,3256736,3256936
Merged-chr2-3266457-1,chr2,3266357,3266557
Merged-chr2-3270203-1,chr2,3270103,3270303
Merged-chr2-3276339-1,chr2,3276239,3276439
Merged-chr2-3277634-1,chr2,3277534,3277734
Merged-chr2-3284129-80,chr2,3283852,3284754
Merged-chr2-3285138-11,chr2,3284945,3285394
Merged-chr2-3293989-1,chr2,3293889,3294089
Merged-chr2-3294896-8,chr2,3294727,3295082
Merged-chr2-3299783-1,chr2,3299683,3299883
Merged-chr2-3306143-1,chr2,3306043,3306243
Merged-chr2-3309436-1,chr2,3309336,3309536
Merged-chr2-3313693-1,chr2,3313593,3313793
Merged-chr2-3317279-1,chr2,3317179,3317379
Merged-chr2-3325721-1,chr2,3325621,3325821
Merged-chr2-3327485-7,chr2,3327352,3327643
Merged-chr2-3332738-108,chr2,3332436,3333153
Merged-chr2-3336091-52,chr2,3335963,3336284
Merged-chr2-3349112-8,chr2,3348982,3349253
Merged-chr2-3357819-1,chr2,3357719,3357919
Merged-chr2-3358715-1,chr2,3358615,3358815
Merged-chr2-3360483-1,chr2,3360383,3360583
Merged-chr2-3363789-1,chr2,3363689,3363889
Merged-chr2-3365703-1,chr2,3365603,3365803
Merged-chr2-3369332-1,chr2,3369232,3369432
Merged-chr2-3374274-1,chr2,3374174,3374374
Merged-chr2-3382175-1,chr2,3382075,3382275
Merged-chr2-3388663-1,chr2,3388563,3388763
Merged-chr2-3393642-1,chr2,3393542,3393742
Merged-chr2-3395082-1,chr2,3394982,3395182
Merged-chr2-3406458-1,chr2,3406358,3406558
Merged-chr2-3414376-2,chr2,3414252,3414500
Merged-chr2-3418640-1,chr2,3418540,3418740
Merged-chr2-3419111-61,chr2,3418899,3419299
Merged-chr2-3424077-62,chr2,3423900,3424353
Merged-chr2-3429501-1,chr2,3429401,3429601
Merged-chr2-3430955-1,chr2,3430855,3431055
Merged-chr2-3431164-1,chr2,3431064,3431264
Merged-chr2-3432604-1,chr2,3432504,3432704
Merged-chr2-3434242-5,chr2,3434117,3434365
Merged-chr2-3435227-1,chr2,3435127,3435327
Merged-chr2-3438615-1,chr2,3438515,3438715
Merged-chr2-3438868-1,chr2,3438768,3438968
Merged-chr2-3439147-1,chr2,3439047,3439247
Merged-chr2-3442482-1,chr2,3442382,3442582
Merged-chr2-3443316-1,chr2,3443216,3443416
Merged-chr2-3443857-11,chr2,3443716,3444010
Merged-chr2-3444280-4,chr2,3444129,3444489
Merged-chr2-3444628-2,chr2,3444524,3444732
Merged-chr2-3445066-4,chr2,3444946,3445203
Merged-chr2-3455060-1,chr2,3454960,3455160
Merged-chr2-3456770-4,chr2,3456621,3456904
Merged-chr2-3459162-1,chr2,3459062,3459262
Merged-chr2-3474532-5,chr2,3474400,3474666
Merged-chr2-3475003-72,chr2,3474735,3475254
Merged-chr2-3475993-2,chr2,3475874,3476112
Merged-chr2-3476478-1,chr2,3476378,3476578
Merged-chr2-3479456-1,chr2,3479356,3479556
Merged-chr2-3480425-2,chr2,3480323,3480527
Merged-chr2-3482725-1,chr2,3482625,3482825
Merged-chr2-3487528-1,chr2,3487428,3487628
