peak_name,chr,start,end
Merged-chr14-3034608-1,chr14,3034508,3034708
Merged-chr14-3043167-1,chr14,3043067,3043267
Merged-chr14-3050243-1,chr14,3050143,3050343
Merged-chr14-3057874-1,chr14,3057774,3057974
Merged-chr14-3063836-1,chr14,3063736,3063936
Merged-chr14-3198473-1,chr14,3198373,3198573
Merged-chr14-3217252-1,chr14,3217152,3217352
Merged-chr14-3340204-1,chr14,3340104,3340304
Merged-chr14-3420214-5,chr14,3420075,3420388
Merged-chr14-3500391-1,chr14,3500291,3500491
Merged-chr14-3579657-1,chr14,3579557,3579757
Merged-chr14-3653027-2,chr14,3652920,3653134
Merged-chr14-3659636-5,chr14,3659489,3659762
Merged-chr14-3817716-3,chr14,3817572,3817846
Merged-chr14-3856929-1,chr14,3856829,3857029
Merged-chr14-3886932-1,chr14,3886832,3887032
Merged-chr14-3932591-1,chr14,3932491,3932691
Merged-chr14-3956497-1,chr14,3956397,3956597
Merged-chr14-3975663-1,chr14,3975563,3975763
Merged-chr14-4011603-1,chr14,4011503,4011703
Merged-chr14-4026672-1,chr14,4026572,4026772
Merged-chr14-4100737-1,chr14,4100637,4100837
Merged-chr14-4110489-1,chr14,4110389,4110589
Merged-chr14-4118086-3,chr14,4117983,4118190
Merged-chr14-4129339-1,chr14,4129239,4129439
Merged-chr14-4190198-2,chr14,4190077,4190320
Merged-chr14-4204549-1,chr14,4204449,4204649
Merged-chr14-4252172-1,chr14,4252072,4252272
Merged-chr14-4304526-1,chr14,4304426,4304626
Merged-chr14-4382236-1,chr14,4382136,4382336
Merged-chr14-4423059-1,chr14,4422959,4423159
Merged-chr14-4500086-1,chr14,4499986,4500186
Merged-chr14-4506863-3,chr14,4506638,4507046
Merged-chr14-4584160-1,chr14,4584060,4584260
Merged-chr14-4643529-1,chr14,4643429,4643629
Merged-chr14-4649476-2,chr14,4649373,4649580
Merged-chr14-4657095-2,chr14,4656986,4657205
Merged-chr14-4676306-1,chr14,4676206,4676406
Merged-chr14-4733771-1,chr14,4733671,4733871
Merged-chr14-4750257-1,chr14,4750157,4750357
Merged-chr14-4779204-1,chr14,4779104,4779304
Merged-chr14-4796310-1,chr14,4796210,4796410
Merged-chr14-4822711-1,chr14,4822611,4822811
Merged-chr14-4841690-1,chr14,4841590,4841790
Merged-chr14-4863186-3,chr14,4863001,4863390
Merged-chr14-4873385-1,chr14,4873285,4873485
Merged-chr14-4969141-1,chr14,4969041,4969241
Merged-chr14-5008791-1,chr14,5008691,5008891
Merged-chr14-5025313-1,chr14,5025213,5025413
Merged-chr14-5027996-1,chr14,5027896,5028096
Merged-chr14-5063828-1,chr14,5063728,5063928
Merged-chr14-5078634-2,chr14,5078500,5078768
Merged-chr14-5156650-1,chr14,5156550,5156750
Merged-chr14-5246466-1,chr14,5246366,5246566
Merged-chr14-5332311-1,chr14,5332211,5332411
Merged-chr14-5380464-1,chr14,5380364,5380564
Merged-chr14-5430448-1,chr14,5430348,5430548
Merged-chr14-5452729-2,chr14,5452602,5452856
Merged-chr14-5460142-1,chr14,5460042,5460242
Merged-chr14-5460706-1,chr14,5460606,5460806
Merged-chr14-5599074-1,chr14,5598974,5599174
Merged-chr14-5631232-1,chr14,5631132,5631332
Merged-chr14-5684840-1,chr14,5684740,5684940
Merged-chr14-5733007-2,chr14,5732890,5733124
Merged-chr14-5782935-1,chr14,5782835,5783035
Merged-chr14-5805206-1,chr14,5805106,5805306
Merged-chr14-5812623-2,chr14,5812512,5812735
Merged-chr14-5812882-1,chr14,5812782,5812982
Merged-chr14-5813105-2,chr14,5812990,5813221
Merged-chr14-5871608-1,chr14,5871508,5871708
Merged-chr14-6024327-1,chr14,6024227,6024427
Merged-chr14-6053623-1,chr14,6053523,6053723
Merged-chr14-6073405-1,chr14,6073305,6073505
Merged-chr14-6100995-1,chr14,6100895,6101095
Merged-chr14-6108752-14,chr14,6108617,6108933
Merged-chr14-6161915-1,chr14,6161815,6162015
Merged-chr14-6168033-1,chr14,6167933,6168133
Merged-chr14-6274562-3,chr14,6274442,6274684
Merged-chr14-6337783-1,chr14,6337683,6337883
Merged-chr14-6426036-1,chr14,6425936,6426136
Merged-chr14-6459938-1,chr14,6459838,6460038
Merged-chr14-6496902-1,chr14,6496802,6497002
Merged-chr14-6534421-1,chr14,6534321,6534521
Merged-chr14-6597644-5,chr14,6597466,6597782
Merged-chr14-6605213-12,chr14,6605047,6605381
Merged-chr14-6698533-1,chr14,6698433,6698633
Merged-chr14-6749422-5,chr14,6749144,6749616
Merged-chr14-6757301-20,chr14,6757109,6757456
Merged-chr14-6757822-1,chr14,6757722,6757922
Merged-chr14-6851037-1,chr14,6850937,6851137
Merged-chr14-6861219-1,chr14,6861119,6861319
Merged-chr14-6865731-1,chr14,6865631,6865831
Merged-chr14-6882254-2,chr14,6882141,6882367
Merged-chr14-6904487-1,chr14,6904387,6904587
Merged-chr14-6960074-1,chr14,6959974,6960174
Merged-chr14-7026564-1,chr14,7026464,7026664
Merged-chr14-7097865-2,chr14,7097757,7097973
Merged-chr14-7102826-1,chr14,7102726,7102926
Merged-chr14-7105481-13,chr14,7105086,7105866
Merged-chr14-7128931-1,chr14,7128831,7129031
Merged-chr14-7161069-1,chr14,7160969,7161169
Merged-chr14-7166938-2,chr14,7166829,7167048
Merged-chr14-7174388-6,chr14,7174195,7174531
Merged-chr14-7174926-3,chr14,7174800,7175059
Merged-chr14-7198060-1,chr14,7197960,7198160
Merged-chr14-7230053-1,chr14,7229953,7230153
Merged-chr14-7235979-1,chr14,7235879,7236079
Merged-chr14-7275642-1,chr14,7275542,7275742
Merged-chr14-7279832-1,chr14,7279732,7279932
Merged-chr14-7307431-4,chr14,7307285,7307567
Merged-chr14-7314087-2,chr14,7313945,7314229
Merged-chr14-7315307-13,chr14,7315101,7315475
Merged-chr14-7357859-1,chr14,7357759,7357959
Merged-chr14-7395415-1,chr14,7395315,7395515
Merged-chr14-7426742-1,chr14,7426642,7426842
Merged-chr14-7481064-3,chr14,7480928,7481189
Merged-chr14-7481920-1,chr14,7481820,7482020
Merged-chr14-7506153-1,chr14,7506053,7506253
Merged-chr14-7559789-1,chr14,7559689,7559889
Merged-chr14-7594758-1,chr14,7594658,7594858
Merged-chr14-7637073-1,chr14,7636973,7637173
Merged-chr14-7651052-4,chr14,7650941,7651173
Merged-chr14-7658176-1,chr14,7658076,7658276
Merged-chr14-7658410-1,chr14,7658310,7658510
Merged-chr14-7658960-1,chr14,7658860,7659060
Merged-chr14-7719769-1,chr14,7719669,7719869
Merged-chr14-7724693-1,chr14,7724593,7724793
Merged-chr14-7740505-1,chr14,7740405,7740605
Merged-chr14-7744547-1,chr14,7744447,7744647
Merged-chr14-7748665-2,chr14,7748554,7748776
Merged-chr14-7749636-18,chr14,7749464,7749950
Merged-chr14-7757675-1,chr14,7757575,7757775
Merged-chr14-7766073-61,chr14,7765940,7766222
Merged-chr14-7770104-1,chr14,7770004,7770204
Merged-chr14-7774084-60,chr14,7773904,7774246
Merged-chr14-7775383-1,chr14,7775283,7775483
Merged-chr14-7783120-1,chr14,7783020,7783220
Merged-chr14-7789805-1,chr14,7789705,7789905
Merged-chr14-7791162-1,chr14,7791062,7791262
Merged-chr14-7791703-69,chr14,7791289,7792143
Merged-chr14-7793814-1,chr14,7793714,7793914
Merged-chr14-7802023-17,chr14,7801884,7802159
Merged-chr14-7804399-9,chr14,7804218,7804536
Merged-chr14-7808987-1,chr14,7808887,7809087
Merged-chr14-7810648-1,chr14,7810548,7810748
Merged-chr14-7812452-1,chr14,7812352,7812552
Merged-chr14-7813669-1,chr14,7813569,7813769
Merged-chr14-7818007-64,chr14,7817789,7818277
Merged-chr14-7818402-2,chr14,7818302,7818502
Merged-chr14-7818883-20,chr14,7818535,7819056
Merged-chr14-7826483-4,chr14,7826342,7826614
Merged-chr14-7826858-1,chr14,7826758,7826958
Merged-chr14-7827713-1,chr14,7827613,7827813
Merged-chr14-7831176-3,chr14,7831052,7831321
Merged-chr14-7832078-25,chr14,7831741,7832390
Merged-chr14-7833672-1,chr14,7833572,7833772
Merged-chr14-7838117-1,chr14,7838017,7838217
Merged-chr14-7842709-1,chr14,7842609,7842809
Merged-chr14-7844464-2,chr14,7844283,7844645
Merged-chr14-7844937-41,chr14,7844800,7845068
Merged-chr14-7858019-8,chr14,7857869,7858163
Merged-chr14-7858576-1,chr14,7858476,7858676
Merged-chr14-7862497-3,chr14,7862388,7862606
Merged-chr14-7864317-1,chr14,7864217,7864417
Merged-chr14-7866846-1,chr14,7866746,7866946
Merged-chr14-7867681-1,chr14,7867581,7867781
Merged-chr14-7868828-1,chr14,7868728,7868928
Merged-chr14-7870055-5,chr14,7869946,7870183
Merged-chr14-7872403-1,chr14,7872303,7872503
Merged-chr14-7873610-1,chr14,7873510,7873710
Merged-chr14-7876393-1,chr14,7876293,7876493
Merged-chr14-7877608-1,chr14,7877508,7877708
Merged-chr14-7884392-1,chr14,7884292,7884492
Merged-chr14-7887261-1,chr14,7887161,7887361
Merged-chr14-7889477-29,chr14,7889298,7889637
Merged-chr14-7890036-47,chr14,7889869,7890172
Merged-chr14-7899748-1,chr14,7899648,7899848
Merged-chr14-7905885-1,chr14,7905785,7905985
Merged-chr14-7907003-1,chr14,7906903,7907103
Merged-chr14-7909252-1,chr14,7909152,7909352
Merged-chr14-7912995-2,chr14,7912873,7913117
Merged-chr14-7914052-50,chr14,7913912,7914214
Merged-chr14-7914465-1,chr14,7914365,7914565
Merged-chr14-7915965-1,chr14,7915865,7916065
Merged-chr14-7916982-1,chr14,7916882,7917082
Merged-chr14-7921641-1,chr14,7921541,7921741
Merged-chr14-7922989-2,chr14,7922846,7923133
Merged-chr14-7923789-1,chr14,7923689,7923889
Merged-chr14-7924211-1,chr14,7924111,7924311
Merged-chr14-7929402-4,chr14,7929236,7929596
Merged-chr14-7931848-1,chr14,7931748,7931948
Merged-chr14-7933557-2,chr14,7933402,7933712
Merged-chr14-7933878-5,chr14,7933761,7933996
Merged-chr14-7934367-2,chr14,7934251,7934484
Merged-chr14-7936180-1,chr14,7936080,7936280
Merged-chr14-7937239-17,chr14,7937099,7937381
Merged-chr14-7944826-22,chr14,7944592,7945120
Merged-chr14-7953099-3,chr14,7952930,7953329
Merged-chr14-7955461-1,chr14,7955361,7955561
Merged-chr14-7959163-1,chr14,7959063,7959263
Merged-chr14-7960937-2,chr14,7960837,7961038
Merged-chr14-7964678-34,chr14,7964517,7964839
Merged-chr14-7965835-2,chr14,7965662,7966008
Merged-chr14-7970194-2,chr14,7970020,7970368
Merged-chr14-7972368-1,chr14,7972268,7972468
Merged-chr14-7973521-1,chr14,7973421,7973621
Merged-chr14-7974301-1,chr14,7974201,7974401
Merged-chr14-7975977-1,chr14,7975877,7976077
Merged-chr14-7977626-23,chr14,7977230,7977885
Merged-chr14-7978421-3,chr14,7978314,7978527
Merged-chr14-7978784-1,chr14,7978684,7978884
Merged-chr14-7987089-7,chr14,7986925,7987284
Merged-chr14-7987766-1,chr14,7987666,7987866
Merged-chr14-7989568-16,chr14,7989392,7989751
Merged-chr14-7990274-1,chr14,7990174,7990374
Merged-chr14-7994419-8,chr14,7994231,7994617
Merged-chr14-7994761-2,chr14,7994631,7994892
Merged-chr14-7995283-1,chr14,7995183,7995383
Merged-chr14-7997428-58,chr14,7997233,7997673
Merged-chr14-8001571-2,chr14,8001436,8001707
