peak_name,chr,start,end
Merged-chrX-3218154-1,chrX,3218054,3218254
Merged-chrX-3346781-1,chrX,3346681,3346881
Merged-chrX-3455788-1,chrX,3455688,3455888
Merged-chrX-3531254-1,chrX,3531154,3531354
Merged-chrX-3538772-1,chrX,3538672,3538872
Merged-chrX-3555355-1,chrX,3555255,3555455
Merged-chrX-4046538-1,chrX,4046438,4046638
Merged-chrX-4093187-1,chrX,4093087,4093287
Merged-chrX-4136192-2,chrX,4135997,4136388
Merged-chrX-4150335-1,chrX,4150235,4150435
Merged-chrX-4158001-1,chrX,4157901,4158101
Merged-chrX-4185067-1,chrX,4184967,4185167
Merged-chrX-4379505-1,chrX,4379405,4379605
Merged-chrX-4426073-1,chrX,4425973,4426173
Merged-chrX-4516955-1,chrX,4516855,4517055
Merged-chrX-4563526-1,chrX,4563426,4563626
Merged-chrX-4568513-1,chrX,4568413,4568613
Merged-chrX-4592439-1,chrX,4592339,4592539
Merged-chrX-4637350-1,chrX,4637250,4637450
Merged-chrX-4647169-1,chrX,4647069,4647269
Merged-chrX-4759174-1,chrX,4759074,4759274
Merged-chrX-4917255-1,chrX,4917155,4917355
Merged-chrX-5105408-1,chrX,5105308,5105508
Merged-chrX-5190610-1,chrX,5190510,5190710
Merged-chrX-5203961-2,chrX,5203852,5204070
Merged-chrX-5279585-1,chrX,5279485,5279685
Merged-chrX-5381150-1,chrX,5381050,5381250
Merged-chrX-5433396-1,chrX,5433296,5433496
Merged-chrX-5437338-1,chrX,5437238,5437438
Merged-chrX-5452881-1,chrX,5452781,5452981
Merged-chrX-5485988-1,chrX,5485888,5486088
Merged-chrX-5558188-5,chrX,5558057,5558337
Merged-chrX-5559177-4,chrX,5559073,5559284
Merged-chrX-5560230-1,chrX,5560130,5560330
Merged-chrX-5619525-1,chrX,5619425,5619625
Merged-chrX-5726962-1,chrX,5726862,5727062
Merged-chrX-5766129-1,chrX,5766029,5766229
Merged-chrX-5772960-1,chrX,5772860,5773060
Merged-chrX-5820121-1,chrX,5820021,5820221
Merged-chrX-5846282-1,chrX,5846182,5846382
Merged-chrX-5857086-1,chrX,5856986,5857186
Merged-chrX-5946741-1,chrX,5946641,5946841
Merged-chrX-5954549-1,chrX,5954449,5954649
Merged-chrX-6019163-1,chrX,6019063,6019263
Merged-chrX-6031183-1,chrX,6031083,6031283
Merged-chrX-6033123-1,chrX,6033023,6033223
Merged-chrX-6091851-1,chrX,6091751,6091951
Merged-chrX-6093165-1,chrX,6093065,6093265
Merged-chrX-6109650-1,chrX,6109550,6109750
