gene_name,chrom,txStart,txEnd
Hnf4g,chr3,3408029,3759800
1110015O18Rik,chr3,4698707,4914911
2700069I18Rik,chr3,5077823,5320823
Zfhx4,chr3,5118553,5515855
Pex2,chr3,5460187,5676248
1700008P02Rik,chr3,6515412,6720443
Pkia,chr3,7266603,7545365
Zc2hc1a,chr3,7403425,7653848
Il7,chr3,7472027,7713760
1700010I02Rik,chr3,7825302,8054887
Gm6194,chr3,8361386,8563098
Stmn2,chr3,8409526,8661604
Hey1,chr3,8563358,8767038
Mrps28,chr3,8702145,9023857
Tpd52,chr3,8829435,9104515
4930539M17Rik,chr3,8961963,9171076
Zbtb10,chr3,9150566,9385332
C030034L19Rik,chr3,9303077,9513903
Zfp704,chr3,9327009,9710085
Pag1,chr3,9587481,9933679
Fabp5,chr3,9912584,10116610
Gm9833,chr3,9988276,10192562
Pmp2,chr3,10079850,10283885
Fabp9,chr3,10093623,10297283
Fabp4,chr3,10104342,10308576
Fabp12,chr3,10144208,10401183
Impa1,chr3,10211955,10431439
Slc10a5,chr3,10231733,10435656
Zfand1,chr3,10239955,10451317
Chmp4c,chr3,10266972,10491005
Snx16,chr3,10317816,10540130
Gm10745,chr3,11723228,11944359
Ralyl,chr3,13371654,14282287
4930539N22Rik,chr3,13497138,13752865
Gm6300,chr3,14263116,14474239
Slc7a12,chr3,14380698,14605818
Lrrcc1,chr3,14433787,14672658
E2f5,chr3,14478670,14706309
1810022K09Rik,chr3,14506288,14711256
Car13,chr3,14541726,14763002
Car1,chr3,14666213,14908365
Car3,chr3,14763537,14972373
Car2,chr3,14786425,15000770
A930001A20Rik,chr3,14871200,15102727
Gm9733,chr3,15196550,15432302
Sirpb1a,chr3,15271826,15526427
Sirpb1b,chr3,15395753,15675065
LOC100038947,chr3,15695146,15948487
Gm5150,chr3,15848069,16106332
Ythdf3,chr3,16083182,16317037
Mir124-2hg,chr3,17689920,17900071
Mir124a-2,chr3,17695661,17895770
Cypt12,chr3,17848443,18048952
Bhlhe22,chr3,17954324,18157514
Cyp7b1,chr3,17971949,18343338
4930433B08Rik,chr3,18368284,18580477
Armc1,chr3,19032143,19263065
Mtfr1,chr3,19087328,19320817
Pde7a,chr3,19123108,19411322
Dnajc5b,chr3,19408594,19710862
Trim55,chr3,19544459,19791599
Crh,chr3,19593400,19795396
4632415L05Rik,chr3,19794870,19998984
Cp,chr3,19857053,20109750
Hps3,chr3,19895944,20135310
Hltf,chr3,19957810,20218491
Gyg,chr3,20022083,20255116
Cpa3,chr3,20115615,20342181
Mir7007,chr3,20122289,20322359
Cpb1,chr3,20149478,20375733
Agtr1b,chr3,20214472,20467177
Tbl1xr1,chr3,21976651,22316594
Rprl2,chr3,22151369,22351607
Naaladl2,chr3,23698102,24884006
Nlgn1,chr3,25331840,26431909
Spata16,chr3,26537630,27083212
Ect2,chr3,26997221,27253878
1700125G22Rik,chr3,27054025,27257019
Nceh1,chr3,27083003,27344911
Tnfsf10,chr3,27217076,27439665
Ghsr,chr3,27271350,27478010
Fndc3b,chr3,27316161,27810439
Mir3092,chr3,27484899,27684995
Tmem212,chr3,27766064,27996368
Pld1,chr3,27838679,28233362
Tnik,chr3,28163213,28770585
Mir466q,chr3,28319942,28520018
Slc2a2,chr3,28597902,28828360
Eif5a2,chr3,28681310,28898846
Rpl22l1,chr3,28705510,28907424
Gm1527,chr3,28792616,29026724
Egfem1,chr3,28982576,29791056
Mir551b,chr3,29316822,29516920
Mir21b,chr3,29536743,29736851
Mannr,chr3,29791016,30024191
Mecom,chr3,29851295,30609487
Actrt3,chr3,30497072,30699870
Mynn,chr3,30502086,30719873
Lrrc34,chr3,30524266,30747818
Lrriq4,chr3,30544506,30772431
Lrrc31,chr3,30578553,30799843
Samd7,chr3,30646292,30867174
Sec62,chr3,30692875,30921263
Gpr160,chr3,30755949,30997194
Phc3,chr3,30799294,31069415
Prkci,chr3,30895770,31152740
