peak_name,chr,start,end
Merged-chr19-3083226-2,chr19,3083107,3083346
Merged-chr19-3084223-1,chr19,3084123,3084323
Merged-chr19-3087192-5,chr19,3087061,3087315
Merged-chr19-3115006-1,chr19,3114906,3115106
Merged-chr19-3119435-1,chr19,3119335,3119535
Merged-chr19-3159478-1,chr19,3159378,3159578
Merged-chr19-3160715-1,chr19,3160615,3160815
Merged-chr19-3191567-1,chr19,3191467,3191667
Merged-chr19-3192561-1,chr19,3192461,3192661
Merged-chr19-3193360-1,chr19,3193260,3193460
Merged-chr19-3226593-4,chr19,3226446,3226737
Merged-chr19-3227330-2,chr19,3227179,3227482
Merged-chr19-3240466-1,chr19,3240366,3240566
Merged-chr19-3260097-1,chr19,3259997,3260197
Merged-chr19-3260722-1,chr19,3260622,3260822
Merged-chr19-3262063-1,chr19,3261963,3262163
Merged-chr19-3264296-1,chr19,3264196,3264396
Merged-chr19-3265215-1,chr19,3265115,3265315
Merged-chr19-3267367-1,chr19,3267267,3267467
Merged-chr19-3270364-1,chr19,3270264,3270464
Merged-chr19-3271008-1,chr19,3270908,3271108
Merged-chr19-3274293-1,chr19,3274193,3274393
Merged-chr19-3276423-1,chr19,3276323,3276523
Merged-chr19-3278961-1,chr19,3278861,3279061
Merged-chr19-3280404-1,chr19,3280304,3280504
Merged-chr19-3280808-1,chr19,3280708,3280908
Merged-chr19-3282975-40,chr19,3282463,3283229
Merged-chr19-3283384-1,chr19,3283284,3283484
Merged-chr19-3287173-1,chr19,3287073,3287273
Merged-chr19-3290316-1,chr19,3290216,3290416
Merged-chr19-3292215-14,chr19,3292068,3292390
Merged-chr19-3300602-1,chr19,3300502,3300702
Merged-chr19-3301119-1,chr19,3301019,3301219
Merged-chr19-3307482-1,chr19,3307382,3307582
Merged-chr19-3312942-1,chr19,3312842,3313042
Merged-chr19-3313473-1,chr19,3313373,3313573
Merged-chr19-3313906-1,chr19,3313806,3314006
Merged-chr19-3317389-1,chr19,3317289,3317489
Merged-chr19-3322470-17,chr19,3322283,3322629
Merged-chr19-3322774-2,chr19,3322652,3322897
Merged-chr19-3323327-54,chr19,3323152,3323505
Merged-chr19-3324096-1,chr19,3323996,3324196
Merged-chr19-3325493-41,chr19,3325052,3325698
Merged-chr19-3329531-1,chr19,3329431,3329631
Merged-chr19-3331857-2,chr19,3331666,3332048
Merged-chr19-3334205-1,chr19,3334105,3334305
Merged-chr19-3335363-1,chr19,3335263,3335463
Merged-chr19-3337001-1,chr19,3336901,3337101
Merged-chr19-3337253-1,chr19,3337153,3337353
Merged-chr19-3338334-1,chr19,3338234,3338434
Merged-chr19-3338939-1,chr19,3338839,3339039
Merged-chr19-3339178-1,chr19,3339078,3339278
Merged-chr19-3343716-1,chr19,3343616,3343816
Merged-chr19-3346744-1,chr19,3346644,3346844
Merged-chr19-3357832-1,chr19,3357732,3357932
Merged-chr19-3361127-1,chr19,3361027,3361227
Merged-chr19-3361418-1,chr19,3361318,3361518
Merged-chr19-3365934-1,chr19,3365834,3366034
Merged-chr19-3368193-1,chr19,3368093,3368293
Merged-chr19-3368461-1,chr19,3368361,3368561
Merged-chr19-3370598-1,chr19,3370498,3370698
Merged-chr19-3371269-1,chr19,3371169,3371369
Merged-chr19-3375104-1,chr19,3375004,3375204
Merged-chr19-3376083-1,chr19,3375983,3376183
Merged-chr19-3380300-1,chr19,3380200,3380400
Merged-chr19-3389092-102,chr19,3388626,3389536
Merged-chr19-3397163-1,chr19,3397063,3397263
