peak_name,chr,start,end
Merged-chr13-3014936-1,chr13,3014836,3015036
Merged-chr13-3036475-1,chr13,3036375,3036575
Merged-chr13-3051081-1,chr13,3050981,3051181
Merged-chr13-3088252-1,chr13,3088152,3088352
Merged-chr13-3106621-1,chr13,3106521,3106721
Merged-chr13-3128311-1,chr13,3128211,3128411
Merged-chr13-3138918-1,chr13,3138818,3139018
Merged-chr13-3143577-1,chr13,3143477,3143677
Merged-chr13-3150008-1,chr13,3149908,3150108
Merged-chr13-3154922-1,chr13,3154822,3155022
Merged-chr13-3186437-1,chr13,3186337,3186537
Merged-chr13-3215038-1,chr13,3214938,3215138
Merged-chr13-3216251-2,chr13,3216129,3216374
Merged-chr13-3223578-1,chr13,3223478,3223678
Merged-chr13-3251196-1,chr13,3251096,3251296
Merged-chr13-3256667-1,chr13,3256567,3256767
Merged-chr13-3276345-1,chr13,3276245,3276445
Merged-chr13-3316865-1,chr13,3316765,3316965
Merged-chr13-3359773-1,chr13,3359673,3359873
Merged-chr13-3360892-1,chr13,3360792,3360992
Merged-chr13-3361286-6,chr13,3361114,3361427
Merged-chr13-3374009-2,chr13,3373909,3374110
Merged-chr13-3376912-1,chr13,3376812,3377012
Merged-chr13-3406813-26,chr13,3406661,3407003
Merged-chr13-3411402-1,chr13,3411302,3411502
Merged-chr13-3418110-1,chr13,3418010,3418210
Merged-chr13-3419794-1,chr13,3419694,3419894
Merged-chr13-3439158-1,chr13,3439058,3439258
Merged-chr13-3446764-1,chr13,3446664,3446864
Merged-chr13-3461272-1,chr13,3461172,3461372
Merged-chr13-3466836-1,chr13,3466736,3466936
Merged-chr13-3478236-57,chr13,3477951,3478637
Merged-chr13-3479846-7,chr13,3479735,3479977
Merged-chr13-3488731-1,chr13,3488631,3488831
Merged-chr13-3498767-1,chr13,3498667,3498867
Merged-chr13-3514214-7,chr13,3514087,3514396
Merged-chr13-3515536-17,chr13,3515379,3515706
Merged-chr13-3516836-1,chr13,3516736,3516936
Merged-chr13-3519514-1,chr13,3519414,3519614
Merged-chr13-3520193-4,chr13,3520054,3520325
Merged-chr13-3522019-2,chr13,3521901,3522137
Merged-chr13-3526552-58,chr13,3526373,3526712
Merged-chr13-3531877-1,chr13,3531777,3531977
Merged-chr13-3537939-64,chr13,3537761,3538202
Merged-chr13-3538715-1,chr13,3538615,3538815
Merged-chr13-3541493-15,chr13,3541365,3541664
Merged-chr13-3544304-3,chr13,3544182,3544416
Merged-chr13-3545144-12,chr13,3544958,3545335
Merged-chr13-3545736-1,chr13,3545636,3545836
Merged-chr13-3549381-1,chr13,3549281,3549481
Merged-chr13-3555024-1,chr13,3554924,3555124
Merged-chr13-3558101-1,chr13,3558001,3558201
Merged-chr13-3562032-1,chr13,3561932,3562132
Merged-chr13-3562431-1,chr13,3562331,3562531
Merged-chr13-3563336-3,chr13,3563229,3563448
Merged-chr13-3564107-1,chr13,3564007,3564207
Merged-chr13-3568344-4,chr13,3568113,3568543
Merged-chr13-3569773-1,chr13,3569673,3569873
Merged-chr13-3570980-1,chr13,3570880,3571080
Merged-chr13-3572813-1,chr13,3572713,3572913
Merged-chr13-3575046-1,chr13,3574946,3575146
Merged-chr13-3575468-1,chr13,3575368,3575568
Merged-chr13-3575867-1,chr13,3575767,3575967
Merged-chr13-3580361-1,chr13,3580261,3580461
Merged-chr13-3590979-9,chr13,3590859,3591097
Merged-chr13-3591665-2,chr13,3591552,3591778
Merged-chr13-3597640-1,chr13,3597540,3597740
Merged-chr13-3604027-1,chr13,3603927,3604127
Merged-chr13-3604755-1,chr13,3604655,3604855
Merged-chr13-3610356-36,chr13,3609866,3610880
Merged-chr13-3611190-60,chr13,3611038,3611326
Merged-chr13-3634043-61,chr13,3633905,3634225
Merged-chr13-3634586-3,chr13,3634441,3634718
Merged-chr13-3637075-57,chr13,3636921,3637225
Merged-chr13-3638040-1,chr13,3637940,3638140
Merged-chr13-3642275-37,chr13,3642121,3642431
Merged-chr13-3643431-1,chr13,3643331,3643531
Merged-chr13-3646166-1,chr13,3646066,3646266
Merged-chr13-3647949-1,chr13,3647849,3648049
Merged-chr13-3649770-1,chr13,3649670,3649870
Merged-chr13-3650385-1,chr13,3650285,3650485
Merged-chr13-3655225-1,chr13,3655125,3655325
Merged-chr13-3664025-6,chr13,3663904,3664148
Merged-chr13-3664583-2,chr13,3664470,3664696
Merged-chr13-3665497-42,chr13,3665264,3665727
Merged-chr13-3667177-1,chr13,3667077,3667277
Merged-chr13-3679724-2,chr13,3679600,3679849
Merged-chr13-3687498-1,chr13,3687398,3687598
Merged-chr13-3695389-1,chr13,3695289,3695489
Merged-chr13-3713096-1,chr13,3712996,3713196
Merged-chr13-3713945-1,chr13,3713845,3714045
Merged-chr13-3722567-1,chr13,3722467,3722667
Merged-chr13-3724603-1,chr13,3724503,3724703
