gene_name,chrom,txStart,txEnd
Vmn1r238,chr18,3022491,3223412
Crem,chr18,3166353,3437589
Gm6225,chr18,3236415,3466863
Cul2,chr18,3283224,3536700
Bambi,chr18,3407956,3616404
Lyzl1,chr18,4065831,4282236
Map3k8,chr18,4231326,4452953
4833419F23Rik,chr18,4253546,4468945
Mtpap,chr18,4275591,4497330
9430020K01Rik,chr18,4534928,4782869
Gm10556,chr18,4712485,4950959
Svil,chr18,4946588,5219293
Zfp438,chr18,5110030,5434439
Gm10125,chr18,5391500,5692437
Zeb1,chr18,5491859,5875468
Arhgap12,chr18,5924449,6236098
Kif5b,chr18,6101004,6341524
Epc1,chr18,6335950,6616108
Mir1893,chr18,6390563,6590646
4921524L21Rik,chr18,6503632,6738966
Rab18,chr18,6665166,6891606
Mkx,chr18,6834965,7104779
Armc4,chr18,6988232,7397901
Mpp7,chr18,7247961,7726863
Wac,chr18,7768831,8029028
Fzd8,chr18,9112855,9316201
Gjd4,chr18,9178606,9382809
Ccny,chr18,9214043,9550150
Cetn1,chr18,9518418,9719469
Colec12,chr18,9607647,9977995
Thoc1,chr18,9858179,10095484
Usp14,chr18,9893614,10130149
Rock1,chr18,9964400,10281792
Greb1l,chr18,10225178,10662941
Esco1,chr18,10466511,10710352
Snrpd1,chr18,10517795,10728230
Abhd3,chr18,10544410,10806696
4930563E18Rik,chr18,10606859,10811832
Mib1,chr18,10625624,10912217
Mir133a-1,chr18,10682908,10882976
Mir1b,chr18,10685445,10885567
Mir1a-2,chr18,10685480,10885552
1010001N08Rik,chr18,10942036,11152567
Gata6,chr18,10952509,11185635
Rbbp8,chr18,11533275,11843207
Gm6277,chr18,11721087,11939377
Cables1,chr18,11739273,12045627
Mir1901,chr18,11740360,11940438
Tmem241,chr18,11881302,12221537
Riok3,chr18,12028849,12257367
3110002H16Rik,chr18,12068729,12289969
Npc1,chr18,12089693,12336386
Ankrd29,chr18,12152356,12405720
Lama3,chr18,12234023,12683012
Ttc39c,chr18,12543532,12837052
Mir1948,chr18,12614810,12814895
Cabyr,chr18,12641354,12855142
Osbpl1a,chr18,12655311,13041841
Impact,chr18,12872251,13092948
Hrh4,chr18,12906989,13122882
Zfp521,chr18,13587013,14072733
8430422H06Rik,chr18,14132305,14378542
Ss18,chr18,14525628,14782914
Psma8,chr18,14606150,14862299
Taf4b,chr18,14683244,15000359
Kctd1,chr18,14868684,15251446
4933424G05Rik,chr18,14888994,15147987
Aqp4,chr18,15289393,15510982
Chst9,chr18,15352174,15818046
Cdh2,chr18,16488876,16909246
Gm15328,chr18,16716406,16922783
1700001G01Rik,chr18,16935507,17237559
4921533I20Rik,chr18,17134482,17335482
4930545E07Rik,chr18,17468745,17680990
Dsc3,chr18,19860929,20102097
Dsc2,chr18,19930632,20159554
Dsc1,chr18,19983470,20214773
Dsg1c,chr18,20147339,20385031
Dsg1a,chr18,20210872,20443353
Dsg1b,chr18,20276728,20512183
Dsg4,chr18,20336174,20571821
Dsg3,chr18,20410273,20641310
Dsg2,chr18,20458073,20704526
Ttr,chr18,20565249,20774326
B4galt6,chr18,20584598,20846404
Trappc8,chr18,20717223,20996078
Rnf125,chr18,20844624,21083848
Rnf138,chr18,20901299,21128224
Mep1b,chr18,20972343,21200199
Garem1,chr18,21027341,21400139
Klhl14,chr18,21450376,21752368
4930426D05Rik,chr18,21551564,21756107
Ccdc178,chr18,21710896,22271396
Asxl3,chr18,22245088,22630227
Nol4,chr18,22593154,23141681
Gm7788,chr18,23117595,23317818
Dtna,chr18,23210019,23759719
Gm15972,chr18,23650447,23852305
Mapre2,chr18,23652332,23993861
Mir6360,chr18,23674863,23874989
Zfp397,chr18,23854687,24064670
Zfp35,chr18,23889633,24105371
Zfp24,chr18,23912266,24120771
Ino80c,chr18,24004760,24221819
Galnt1,chr18,24105343,24386816
Mir187,chr18,24329109,24529170
2700062C07Rik,chr18,24370870,24577767
Rprd1a,chr18,24384961,24630204
Slc39a6,chr18,24479880,24703817
Elp2,chr18,24503960,24738830
Mocos,chr18,24553690,24801556
Fhod3,chr18,24608622,25233507
Tpgs2,chr18,25027222,25268877
AW554918,chr18,25069019,25567321
Celf4,chr18,25377619,25853983
4930474G06Rik,chr18,28460163,29098176
4930578E11Rik,chr18,29296715,29596416
4930527G23Rik,chr18,29342199,29566107
Pik3c3,chr18,30172895,30448120
Rit2,chr18,30874313,31417128
Syt4,chr18,31337807,31547415
Slc25a46,chr18,31480167,31709902
Sap130,chr18,31534382,31823061
Ammecr1l,chr18,31659823,31884083
Polr2d,chr18,31689158,31896701
Wdr33,chr18,31704056,32008987
Sft2d3,chr18,31809093,32011903
Lims2,chr18,31831506,32058619
Gpr17,chr18,31842998,32049636
Myo7b,chr18,31859233,32136931
Iws1,chr18,31967733,32204331
Proc,chr18,32023125,32239570
Map3k2,chr18,32063088,32336751
Ercc3,chr18,32140330,32370147
A830052D11Rik,chr18,32259056,32478284
Bin1,chr18,32277216,32535740
Gypc,chr18,32428319,32660034
4930455D15Rik,chr18,32563641,32937287
Tslp,chr18,32715382,32919799
Wdr36,chr18,32737224,32966420
Mir6361,chr18,32780572,32980673
Camk4,chr18,32839040,33295767
Stard4,chr18,33099137,33313862
Nrep,chr18,33337018,33564029
Gm10549,chr18,33364162,33574710
Epb41l4aos,chr18,33694891,33895989
Epb41l4a,chr18,33696326,34107206
Gm10548,chr18,34107774,34321772
Apc,chr18,34120983,34422190
Srp19,chr18,34231144,34436599
Reep5,chr18,34244885,34473415
Pkd2l2,chr18,34309422,34542788
Fam13b,chr18,34342350,34606823
Wnt8a,chr18,34442327,34648061
Nme5,chr18,34462640,34679106
4933408B17Rik,chr18,34479845,34697468
Brd8,chr18,34498614,34724863
Kif20a,chr18,34524623,34733277
Cdc23,chr18,34531682,34751736
Gfra3,chr18,34589897,34820387
Cdc25c,chr18,34632994,34851533
Fam53c,chr18,34658905,34873760
