peak_name,chr,start,end,gene_number,gene_name
Merged-chr11-3100411-3,chr11,3100270,3100542,2,"Pisd-ps1,Sfi1"
Merged-chr11-3101533-1,chr11,3101433,3101633,2,"Pisd-ps1,Sfi1"
Merged-chr11-3101831-6,chr11,3101636,3102101,2,"Pisd-ps1,Sfi1"
Merged-chr11-3104015-1,chr11,3103915,3104115,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3105263-103,chr11,3104668,3105760,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3105980-1,chr11,3105880,3106080,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3112285-1,chr11,3112185,3112385,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3113014-1,chr11,3112914,3113114,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3114193-1,chr11,3114093,3114293,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3122618-1,chr11,3122518,3122718,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3123384-1,chr11,3123284,3123484,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3123839-64,chr11,3123542,3124192,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3125743-33,chr11,3125524,3126014,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3127410-22,chr11,3127188,3127614,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3128002-30,chr11,3127713,3128478,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3128874-28,chr11,3128615,3129055,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3130895-7,chr11,3130765,3131087,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3132145-9,chr11,3132012,3132298,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3133000-9,chr11,3132851,3133196,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3133615-46,chr11,3133446,3133912,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3134501-6,chr11,3134358,3134634,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3135138-2,chr11,3135010,3135267,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3135608-11,chr11,3135344,3135850,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3136816-36,chr11,3136411,3137016,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3137450-9,chr11,3137310,3137641,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3138601-27,chr11,3138370,3138797,3,"Pisd-ps1,Sfi1,Eif4enif1"
Merged-chr11-3140697-4,chr11,3140590,3140802,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3141386-7,chr11,3141068,3141637,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3142502-37,chr11,3142322,3142691,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3142867-2,chr11,3142767,3142967,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3143446-11,chr11,3143143,3143638,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3143954-10,chr11,3143661,3144230,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3144891-41,chr11,3144510,3145266,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3146135-67,chr11,3145659,3146583,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3146713-1,chr11,3146613,3146813,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3146956-2,chr11,3146855,3147057,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3147667-1,chr11,3147567,3147767,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3147929-1,chr11,3147829,3148029,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3149797-3,chr11,3149687,3149904,4,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a"
Merged-chr11-3150194-1,chr11,3150094,3150294,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3151033-5,chr11,3150818,3151254,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3151480-27,chr11,3151294,3151631,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3152561-6,chr11,3152430,3152732,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3153817-56,chr11,3153650,3154018,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3154162-1,chr11,3154062,3154262,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3155468-4,chr11,3155357,3155582,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3156697-9,chr11,3156519,3156862,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3157062-8,chr11,3156948,3157182,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3157817-60,chr11,3157417,3158117,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3159869-56,chr11,3159738,3160047,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3160339-1,chr11,3160239,3160439,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3160691-1,chr11,3160591,3160791,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3161321-10,chr11,3161039,3161537,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3162908-7,chr11,3162721,3163071,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3163849-28,chr11,3163645,3164021,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3164661-1,chr11,3164561,3164761,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
Merged-chr11-3165613-44,chr11,3165419,3165833,5,"Pisd-ps1,Sfi1,Eif4enif1,Mir3470a,Drg1"
