peak_name,chr,start,end
Merged-chr10-3101118-1,chr10,3101018,3101218
Merged-chr10-3101448-1,chr10,3101348,3101548
Merged-chr10-3103126-1,chr10,3103026,3103226
Merged-chr10-3109541-4,chr10,3109439,3109644
Merged-chr10-3111369-2,chr10,3111258,3111481
Merged-chr10-3112785-1,chr10,3112685,3112885
Merged-chr10-3113834-3,chr10,3113715,3113971
Merged-chr10-3114471-9,chr10,3114206,3114683
Merged-chr10-3114934-9,chr10,3114711,3115116
Merged-chr10-3115286-1,chr10,3115186,3115386
Merged-chr10-3116207-1,chr10,3116107,3116307
Merged-chr10-3117044-5,chr10,3116930,3117179
Merged-chr10-3119152-1,chr10,3119052,3119252
Merged-chr10-3124717-1,chr10,3124617,3124817
Merged-chr10-3127835-1,chr10,3127735,3127935
Merged-chr10-3137915-1,chr10,3137815,3138015
Merged-chr10-3153870-1,chr10,3153770,3153970
Merged-chr10-3157154-1,chr10,3157054,3157254
Merged-chr10-3161832-1,chr10,3161732,3161932
Merged-chr10-3171407-1,chr10,3171307,3171507
Merged-chr10-3174273-2,chr10,3174128,3174418
Merged-chr10-3177411-1,chr10,3177311,3177511
Merged-chr10-3179150-1,chr10,3179050,3179250
Merged-chr10-3180750-1,chr10,3180650,3180850
Merged-chr10-3181513-1,chr10,3181413,3181613
Merged-chr10-3186476-1,chr10,3186376,3186576
Merged-chr10-3187608-1,chr10,3187508,3187708
Merged-chr10-3188573-1,chr10,3188473,3188673
Merged-chr10-3196794-1,chr10,3196694,3196894
Merged-chr10-3199031-1,chr10,3198931,3199131
Merged-chr10-3218353-1,chr10,3218253,3218453
Merged-chr10-3225014-1,chr10,3224914,3225114
Merged-chr10-3226634-1,chr10,3226534,3226734
Merged-chr10-3229076-1,chr10,3228976,3229176
Merged-chr10-3232342-2,chr10,3232211,3232473
Merged-chr10-3235513-1,chr10,3235413,3235613
Merged-chr10-3237214-17,chr10,3237026,3237369
Merged-chr10-3238056-1,chr10,3237956,3238156
Merged-chr10-3238609-10,chr10,3238429,3238757
Merged-chr10-3240034-2,chr10,3239884,3240184
Merged-chr10-3247279-1,chr10,3247179,3247379
Merged-chr10-3248031-1,chr10,3247931,3248131
Merged-chr10-3257397-2,chr10,3257210,3257585
Merged-chr10-3261585-1,chr10,3261485,3261685
Merged-chr10-3261872-1,chr10,3261772,3261972
Merged-chr10-3264020-1,chr10,3263920,3264120
Merged-chr10-3266413-1,chr10,3266313,3266513
Merged-chr10-3267445-2,chr10,3267262,3267629
Merged-chr10-3281169-24,chr10,3281011,3281337
Merged-chr10-3281814-5,chr10,3281563,3282129
Merged-chr10-3302994-1,chr10,3302894,3303094
Merged-chr10-3311180-1,chr10,3311080,3311280
Merged-chr10-3311506-1,chr10,3311406,3311606
Merged-chr10-3330405-1,chr10,3330305,3330505
Merged-chr10-3333080-24,chr10,3332903,3333231
Merged-chr10-3333575-2,chr10,3333429,3333722
Merged-chr10-3334248-3,chr10,3334118,3334379
Merged-chr10-3334770-14,chr10,3334603,3334919
Merged-chr10-3341330-1,chr10,3341230,3341430
Merged-chr10-3345860-1,chr10,3345760,3345960
Merged-chr10-3346505-1,chr10,3346405,3346605
Merged-chr10-3348543-1,chr10,3348443,3348643
Merged-chr10-3354094-1,chr10,3353994,3354194
Merged-chr10-3355638-1,chr10,3355538,3355738
Merged-chr10-3359841-1,chr10,3359741,3359941
Merged-chr10-3366587-8,chr10,3366332,3366925
Merged-chr10-3370442-1,chr10,3370342,3370542
Merged-chr10-3377684-1,chr10,3377584,3377784
Merged-chr10-3385006-1,chr10,3384906,3385106
Merged-chr10-3387625-1,chr10,3387525,3387725
Merged-chr10-3396079-1,chr10,3395979,3396179
Merged-chr10-3396699-1,chr10,3396599,3396799
Merged-chr10-3404587-1,chr10,3404487,3404687
Merged-chr10-3417055-1,chr10,3416955,3417155
Merged-chr10-3420289-1,chr10,3420189,3420389
Merged-chr10-3420699-1,chr10,3420599,3420799
Merged-chr10-3428193-1,chr10,3428093,3428293
Merged-chr10-3429461-1,chr10,3429361,3429561
Merged-chr10-3435035-2,chr10,3434902,3435169
Merged-chr10-3438183-1,chr10,3438083,3438283
Merged-chr10-3444247-2,chr10,3444069,3444426
Merged-chr10-3448346-1,chr10,3448246,3448446
Merged-chr10-3451749-1,chr10,3451649,3451849
Merged-chr10-3452890-1,chr10,3452790,3452990
Merged-chr10-3455715-1,chr10,3455615,3455815
Merged-chr10-3459556-1,chr10,3459456,3459656
Merged-chr10-3462525-1,chr10,3462425,3462625
Merged-chr10-3475466-1,chr10,3475366,3475566
Merged-chr10-3493307-1,chr10,3493207,3493407
Merged-chr10-3498493-3,chr10,3498354,3498628
Merged-chr10-3500603-1,chr10,3500503,3500703
Merged-chr10-3500846-1,chr10,3500746,3500946
Merged-chr10-3507446-2,chr10,3507276,3507617
Merged-chr10-3508335-1,chr10,3508235,3508435
Merged-chr10-3509758-1,chr10,3509658,3509858
Merged-chr10-3510676-44,chr10,3510530,3510851
