peak_name,chr,start,end,gene_number,gene_name
Merged-chr3-3000543-3,chr3,3000341,3000780,0,NA
Merged-chr3-3001578-1,chr3,3001478,3001678,0,NA
Merged-chr3-3001871-2,chr3,3001731,3002011,0,NA
Merged-chr3-3003558-1,chr3,3003458,3003658,0,NA
Merged-chr3-3005502-1,chr3,3005402,3005602,0,NA
Merged-chr3-3005801-1,chr3,3005701,3005901,0,NA
Merged-chr3-3010931-1,chr3,3010831,3011031,0,NA
Merged-chr3-3011355-1,chr3,3011255,3011455,0,NA
Merged-chr3-3013525-1,chr3,3013425,3013625,0,NA
Merged-chr3-3013743-1,chr3,3013643,3013843,0,NA
Merged-chr3-3015835-1,chr3,3015735,3015935,0,NA
Merged-chr3-3023814-1,chr3,3023714,3023914,0,NA
Merged-chr3-3029406-1,chr3,3029306,3029506,0,NA
Merged-chr3-3033006-1,chr3,3032906,3033106,0,NA
Merged-chr3-3049903-1,chr3,3049803,3050003,0,NA
Merged-chr3-3057408-1,chr3,3057308,3057508,0,NA
Merged-chr3-3097392-3,chr3,3097226,3097558,0,NA
Merged-chr3-3100532-1,chr3,3100432,3100632,0,NA
Merged-chr3-3121774-1,chr3,3121674,3121874,0,NA
Merged-chr3-3123311-1,chr3,3123211,3123411,0,NA
Merged-chr3-3123702-1,chr3,3123602,3123802,0,NA
Merged-chr3-3126594-1,chr3,3126494,3126694,0,NA
Merged-chr3-3127251-1,chr3,3127151,3127351,0,NA
Merged-chr3-3131405-1,chr3,3131305,3131505,0,NA
Merged-chr3-3134848-1,chr3,3134748,3134948,0,NA
Merged-chr3-3135944-1,chr3,3135844,3136044,0,NA
Merged-chr3-3140112-1,chr3,3140012,3140212,0,NA
Merged-chr3-3143635-1,chr3,3143535,3143735,0,NA
Merged-chr3-3147481-4,chr3,3147329,3147607,0,NA
Merged-chr3-3152421-1,chr3,3152321,3152521,0,NA
Merged-chr3-3153580-1,chr3,3153480,3153680,0,NA
Merged-chr3-3180063-1,chr3,3179963,3180163,0,NA
Merged-chr3-3181487-1,chr3,3181387,3181587,0,NA
Merged-chr3-3211106-1,chr3,3211006,3211206,0,NA
Merged-chr3-3226414-1,chr3,3226314,3226514,0,NA
Merged-chr3-3249897-1,chr3,3249797,3249997,0,NA
Merged-chr3-3269282-1,chr3,3269182,3269382,0,NA
Merged-chr3-3271969-1,chr3,3271869,3272069,0,NA
Merged-chr3-3285143-1,chr3,3285043,3285243,0,NA
Merged-chr3-3288578-1,chr3,3288478,3288678,0,NA
Merged-chr3-3307113-1,chr3,3307013,3307213,0,NA
Merged-chr3-3309577-2,chr3,3309379,3309776,0,NA
