peak_name,chr,start,end,gene_number,gene_name
Merged-chr17-3003556-1,chr17,3003456,3003656,1,Pisd-ps2
Merged-chr17-3005295-1,chr17,3005195,3005395,1,Pisd-ps2
Merged-chr17-3007180-1,chr17,3007080,3007280,1,Pisd-ps2
Merged-chr17-3008988-1,chr17,3008888,3009088,1,Pisd-ps2
Merged-chr17-3009505-1,chr17,3009405,3009605,1,Pisd-ps2
Merged-chr17-3010290-2,chr17,3010169,3010412,1,Pisd-ps2
Merged-chr17-3014788-1,chr17,3014688,3014888,1,Pisd-ps2
Merged-chr17-3016137-1,chr17,3016037,3016237,2,"Pisd-ps2,Scaf8"
Merged-chr17-3018444-1,chr17,3018344,3018544,2,"Pisd-ps2,Scaf8"
Merged-chr17-3018826-1,chr17,3018726,3018926,2,"Pisd-ps2,Scaf8"
Merged-chr17-3020177-1,chr17,3020077,3020277,2,"Pisd-ps2,Scaf8"
Merged-chr17-3020617-2,chr17,3020482,3020753,2,"Pisd-ps2,Scaf8"
Merged-chr17-3027348-1,chr17,3027248,3027448,2,"Pisd-ps2,Scaf8"
Merged-chr17-3029996-4,chr17,3029790,3030208,2,"Pisd-ps2,Scaf8"
Merged-chr17-3032203-1,chr17,3032103,3032303,2,"Pisd-ps2,Scaf8"
Merged-chr17-3033297-1,chr17,3033197,3033397,2,"Pisd-ps2,Scaf8"
Merged-chr17-3033675-1,chr17,3033575,3033775,2,"Pisd-ps2,Scaf8"
Merged-chr17-3036187-1,chr17,3036087,3036287,2,"Pisd-ps2,Scaf8"
Merged-chr17-3036813-1,chr17,3036713,3036913,2,"Pisd-ps2,Scaf8"
Merged-chr17-3037611-2,chr17,3037430,3037792,2,"Pisd-ps2,Scaf8"
Merged-chr17-3054679-1,chr17,3054579,3054779,2,"Pisd-ps2,Scaf8"
Merged-chr17-3055287-1,chr17,3055187,3055387,2,"Pisd-ps2,Scaf8"
Merged-chr17-3055634-1,chr17,3055534,3055734,2,"Pisd-ps2,Scaf8"
Merged-chr17-3056831-1,chr17,3056731,3056931,2,"Pisd-ps2,Scaf8"
Merged-chr17-3061132-1,chr17,3061032,3061232,2,"Pisd-ps2,Scaf8"
Merged-chr17-3075559-1,chr17,3075459,3075659,2,"Pisd-ps2,Scaf8"
Merged-chr17-3076091-1,chr17,3075991,3076191,2,"Pisd-ps2,Scaf8"
Merged-chr17-3077941-4,chr17,3077827,3078054,2,"Pisd-ps2,Scaf8"
Merged-chr17-3079491-32,chr17,3079321,3079822,2,"Pisd-ps2,Scaf8"
Merged-chr17-3080704-12,chr17,3080536,3080868,2,"Pisd-ps2,Scaf8"
Merged-chr17-3081922-47,chr17,3081565,3082424,2,"Pisd-ps2,Scaf8"
Merged-chr17-3082789-49,chr17,3082542,3083001,2,"Pisd-ps2,Scaf8"
Merged-chr17-3084291-63,chr17,3083991,3084520,2,"Pisd-ps2,Scaf8"
Merged-chr17-3084713-1,chr17,3084613,3084813,2,"Pisd-ps2,Scaf8"
Merged-chr17-3085309-1,chr17,3085209,3085409,2,"Pisd-ps2,Scaf8"
Merged-chr17-3092924-50,chr17,3092744,3093169,2,"Pisd-ps2,Scaf8"
Merged-chr17-3099450-1,chr17,3099350,3099550,2,"Pisd-ps2,Scaf8"
Merged-chr17-3100251-1,chr17,3100151,3100351,2,"Pisd-ps2,Scaf8"
Merged-chr17-3102054-1,chr17,3101954,3102154,2,"Pisd-ps2,Scaf8"
Merged-chr17-3102490-51,chr17,3102326,3102648,2,"Pisd-ps2,Scaf8"
Merged-chr17-3103068-9,chr17,3102949,3103184,2,"Pisd-ps2,Scaf8"
Merged-chr17-3105064-14,chr17,3104879,3105205,2,"Pisd-ps2,Scaf8"
Merged-chr17-3107519-1,chr17,3107419,3107619,2,"Pisd-ps2,Scaf8"
Merged-chr17-3114594-4,chr17,3114480,3114702,2,"Pisd-ps2,Scaf8"
Merged-chr17-3114933-109,chr17,3114742,3115267,2,"Pisd-ps2,Scaf8"
Merged-chr17-3115791-27,chr17,3115623,3115989,2,"Pisd-ps2,Scaf8"
Merged-chr17-3120924-1,chr17,3120824,3121024,2,"Pisd-ps2,Scaf8"
Merged-chr17-3121530-1,chr17,3121430,3121630,2,"Pisd-ps2,Scaf8"
Merged-chr17-3122619-1,chr17,3122519,3122719,2,"Pisd-ps2,Scaf8"
Merged-chr17-3122979-1,chr17,3122879,3123079,2,"Pisd-ps2,Scaf8"
Merged-chr17-3124410-5,chr17,3124278,3124547,2,"Pisd-ps2,Scaf8"
Merged-chr17-3126318-1,chr17,3126218,3126418,2,"Pisd-ps2,Scaf8"
Merged-chr17-3129952-3,chr17,3129818,3130071,2,"Pisd-ps2,Scaf8"
Merged-chr17-3130428-2,chr17,3130317,3130540,2,"Pisd-ps2,Scaf8"
Merged-chr17-3135670-1,chr17,3135570,3135770,2,"Pisd-ps2,Scaf8"
Merged-chr17-3136327-21,chr17,3136112,3136482,2,"Pisd-ps2,Scaf8"
Merged-chr17-3138570-10,chr17,3138434,3138713,2,"Pisd-ps2,Scaf8"
Merged-chr17-3142408-1,chr17,3142308,3142508,2,"Pisd-ps2,Scaf8"
Merged-chr17-3149067-1,chr17,3148967,3149167,2,"Pisd-ps2,Scaf8"
Merged-chr17-3151425-1,chr17,3151325,3151525,2,"Pisd-ps2,Scaf8"
Merged-chr17-3153266-1,chr17,3153166,3153366,2,"Pisd-ps2,Scaf8"
Merged-chr17-3156368-47,chr17,3156214,3156548,2,"Pisd-ps2,Scaf8"
Merged-chr17-3163521-1,chr17,3163421,3163621,2,"Pisd-ps2,Scaf8"
Merged-chr17-3167506-1,chr17,3167406,3167606,2,"Pisd-ps2,Scaf8"
Merged-chr17-3181490-1,chr17,3181390,3181590,2,"Pisd-ps2,Scaf8"
Merged-chr17-3182752-2,chr17,3182635,3182869,2,"Pisd-ps2,Scaf8"
Merged-chr17-3191732-1,chr17,3191632,3191832,1,Scaf8
Merged-chr17-3195179-1,chr17,3195079,3195279,1,Scaf8
Merged-chr17-3200770-1,chr17,3200670,3200870,1,Scaf8
Merged-chr17-3203631-2,chr17,3203520,3203742,1,Scaf8
Merged-chr17-3204153-3,chr17,3204001,3204299,1,Scaf8
Merged-chr17-3206403-1,chr17,3206303,3206503,1,Scaf8
Merged-chr17-3209532-1,chr17,3209432,3209632,1,Scaf8
Merged-chr17-3209861-1,chr17,3209761,3209961,1,Scaf8
Merged-chr17-3210274-1,chr17,3210174,3210374,1,Scaf8
Merged-chr17-3212641-1,chr17,3212541,3212741,1,Scaf8
Merged-chr17-3213400-1,chr17,3213300,3213500,1,Scaf8
Merged-chr17-3214608-1,chr17,3214508,3214708,1,Scaf8
Merged-chr17-3215327-6,chr17,3215175,3215446,1,Scaf8
Merged-chr17-3220477-2,chr17,3220367,3220588,1,Scaf8
Merged-chr17-3221838-1,chr17,3221738,3221938,1,Scaf8
Merged-chr17-3224614-41,chr17,3224450,3224778,1,Scaf8
Merged-chr17-3225060-1,chr17,3224960,3225160,1,Scaf8
Merged-chr17-3229015-1,chr17,3228915,3229115,2,"Scaf8,Tiam2"
Merged-chr17-3230371-31,chr17,3230225,3230608,2,"Scaf8,Tiam2"
Merged-chr17-3230809-1,chr17,3230709,3230909,2,"Scaf8,Tiam2"
Merged-chr17-3235175-1,chr17,3235075,3235275,2,"Scaf8,Tiam2"
Merged-chr17-3236470-1,chr17,3236370,3236570,2,"Scaf8,Tiam2"
Merged-chr17-3237564-1,chr17,3237464,3237664,2,"Scaf8,Tiam2"
Merged-chr17-3239400-1,chr17,3239300,3239500,2,"Scaf8,Tiam2"
Merged-chr17-3241937-1,chr17,3241837,3242037,2,"Scaf8,Tiam2"
Merged-chr17-3245360-1,chr17,3245260,3245460,2,"Scaf8,Tiam2"
Merged-chr17-3247442-1,chr17,3247342,3247542,2,"Scaf8,Tiam2"
Merged-chr17-3252900-1,chr17,3252800,3253000,2,"Scaf8,Tiam2"
Merged-chr17-3253705-18,chr17,3253582,3253854,2,"Scaf8,Tiam2"
Merged-chr17-3261019-40,chr17,3260820,3261333,2,"Scaf8,Tiam2"
Merged-chr17-3273443-1,chr17,3273343,3273543,2,"Scaf8,Tiam2"
Merged-chr17-3273940-28,chr17,3273750,3274101,2,"Scaf8,Tiam2"
Merged-chr17-3274399-2,chr17,3274287,3274511,2,"Scaf8,Tiam2"
Merged-chr17-3283120-3,chr17,3282943,3283259,2,"Scaf8,Tiam2"
Merged-chr17-3288547-31,chr17,3288383,3288718,2,"Scaf8,Tiam2"
Merged-chr17-3289712-1,chr17,3289612,3289812,2,"Scaf8,Tiam2"
Merged-chr17-3290489-2,chr17,3290307,3290672,2,"Scaf8,Tiam2"
Merged-chr17-3294423-2,chr17,3294268,3294578,2,"Scaf8,Tiam2"
Merged-chr17-3297909-1,chr17,3297809,3298009,2,"Scaf8,Tiam2"
Merged-chr17-3299841-1,chr17,3299741,3299941,1,Tiam2
Merged-chr17-3306027-1,chr17,3305927,3306127,1,Tiam2
Merged-chr17-3306338-1,chr17,3306238,3306438,1,Tiam2
Merged-chr17-3310011-1,chr17,3309911,3310111,1,Tiam2
Merged-chr17-3314341-59,chr17,3314133,3314497,1,Tiam2
Merged-chr17-3326570-27,chr17,3326167,3327104,1,Tiam2
Merged-chr17-3327384-2,chr17,3327230,3327538,1,Tiam2
Merged-chr17-3337949-1,chr17,3337849,3338049,1,Tiam2
Merged-chr17-3339166-1,chr17,3339066,3339266,1,Tiam2
Merged-chr17-3341134-1,chr17,3341034,3341234,1,Tiam2
Merged-chr17-3357325-1,chr17,3357225,3357425,1,Tiam2
Merged-chr17-3362936-1,chr17,3362836,3363036,1,Tiam2
Merged-chr17-3371402-1,chr17,3371302,3371502,1,Tiam2
Merged-chr17-3371745-1,chr17,3371645,3371845,1,Tiam2
Merged-chr17-3375504-1,chr17,3375404,3375604,1,Tiam2
Merged-chr17-3378615-1,chr17,3378515,3378715,1,Tiam2
Merged-chr17-3386666-3,chr17,3386483,3386818,1,Tiam2
Merged-chr17-3393323-1,chr17,3393223,3393423,1,Tiam2
Merged-chr17-3405055-1,chr17,3404955,3405155,1,Tiam2
Merged-chr17-3405569-1,chr17,3405469,3405669,1,Tiam2
Merged-chr17-3414411-1,chr17,3414311,3414511,1,Tiam2
Merged-chr17-3421260-1,chr17,3421160,3421360,2,"Tiam2,Tfb1m"
Merged-chr17-3421843-1,chr17,3421743,3421943,2,"Tiam2,Tfb1m"
Merged-chr17-3423453-1,chr17,3423353,3423553,2,"Tiam2,Tfb1m"
Merged-chr17-3424999-1,chr17,3424899,3425099,2,"Tiam2,Tfb1m"
Merged-chr17-3429321-2,chr17,3429179,3429464,2,"Tiam2,Tfb1m"
Merged-chr17-3433177-1,chr17,3433077,3433277,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3434354-1,chr17,3434254,3434454,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3436233-1,chr17,3436133,3436333,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3438442-1,chr17,3438342,3438542,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3440733-1,chr17,3440633,3440833,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3446445-18,chr17,3446300,3446644,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3447186-1,chr17,3447086,3447286,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3448109-1,chr17,3448009,3448209,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3448944-18,chr17,3448809,3449080,3,"Tiam2,Tfb1m,Cldn20"
Merged-chr17-3450520-1,chr17,3450420,3450620,3,"Tiam2,Tfb1m,Cldn20"
