gene_name,chrom,txStart,txEnd
Btbd35f23,chrX,2976919,3178823
Btbd35f16,chrX,3341730,31438328
Btbd35f18,chrX,3341730,31438328
Btbd35f11,chrX,3341730,34261584
Btbd35f4,chrX,3341735,34261584
Btbd35f3,chrX,3341735,34261584
Btbd35f10,chrX,3341735,34261584
Btbd35f15,chrX,3650925,33677346
Spin2-ps1,chrX,3735878,32062821
Gm21637,chrX,3735878,32751448
Btbd35f28,chrX,4096575,4298535
Btbd35f20,chrX,4189285,31483918
Btbd35f17,chrX,4270635,4472595
Gm5925,chrX,4415588,4617543
Btbd35f27,chrX,4852134,5054077
Mycs,chrX,5366903,5569265
Btbd35f7,chrX,5569066,5771026
Nudt11,chrX,5947506,6154751
AU022751,chrX,5981217,6183420
Nudt10,chrX,6068695,6272991
Bmp15,chrX,6214053,6420724
Shroom4,chrX,6300031,6737454
5430428K19Rik,chrX,6352375,6674663
Dgkk,chrX,6773483,7048363
Ccnb3,chrX,6879651,7141619
Akap4,chrX,6967514,7178606
Clcn5,chrX,7058411,7419358
Mir500,chrX,7137682,7337774
Mir501,chrX,7141242,7341351
Mir362,chrX,7141982,7342046
Mir188,chrX,7147988,7348056
Mir532,chrX,7148401,7348497
Usp27x,chrX,7272590,7475830
Gm14379,chrX,7275924,7478042
2010204K13Rik,chrX,7311816,7522988
Ppp1r3f,chrX,7458561,7674281
Ppp1r3fos,chrX,7473599,7681016
Foxp3,chrX,7479675,7695243
Ccdc22,chrX,7493808,7705420
Cacna1f,chrX,7507102,7735196
Syp,chrX,7538579,7753256
Prickle3,chrX,7557378,7768186
Plp2,chrX,7567940,7771390
Magix,chrX,7573165,7781251
Gpkow,chrX,7597133,7810259
Wdr45,chrX,7622219,7828201
Praf2,chrX,7628570,7831063
Ccdc120,chrX,7631713,7841324
Mir684-1,chrX,7653088,7853173
Tfe3,chrX,7662660,7875202
Gripap1,chrX,7689992,7920567
Kcnd1,chrX,7723758,7938278
Otud5,chrX,7741830,7976626
Pim2,chrX,7778305,7983432
Slc35a2,chrX,7784243,7994492
Pqbp1,chrX,7794518,7999269
Timm17b,chrX,7799335,8007652
Pcsk1n,chrX,7819821,8024410
Eras,chrX,7824275,8028607
Hdac6,chrX,7830121,8047889
Gata1,chrX,7859259,8067910
Glod5,chrX,7904200,8118492
Suv39h1,chrX,7961170,8174760
Was,chrX,7981465,8190491
Gm6787,chrX,7997086,8206701
Wdr13,chrX,8023300,8232858
Rbm3,chrX,8038974,8245880
Rbm3os,chrX,8045426,8247963
Tbc1d25,chrX,8054471,8276181
Ebp,chrX,8085328,8293512
Porcn,chrX,8093845,8306525
Ftsj1,chrX,8138667,8352406
Slc38a5,chrX,8171380,8380176
Ssxb10,chrX,8227423,8436235
Ssxb9,chrX,8266977,8475388
Ssxb1,chrX,8313304,8522157
Ssxb2,chrX,8354342,8561726
Gm14459,chrX,8414051,8624954
Ssxb6,chrX,8442603,8648255
Ssxb3,chrX,8483543,8689246
Ssxb8,chrX,8585330,8790844
Ssx9,chrX,8648429,8854587
Ssxb5,chrX,8703690,8909386
Gm6592,chrX,8743993,8949607
B630019K06Rik,chrX,8792352,8994964
Fthl17b,chrX,8862133,9062975
Fthl17c,chrX,8875717,9076559
Fthl17-ps1,chrX,8875717,9144410
Fthl17d,chrX,8885939,9086672
Fthl17e,chrX,8933485,9134333
Fthl17f,chrX,8963089,9163822
4930402K13Rik,chrX,9004561,9206342
Lancl3,chrX,9099972,9368085
Xk,chrX,9172783,9413245
H2al1m,chrX,9183763,9384288
H2al1k,chrX,9250598,9451137
Cybb,chrX,9335253,9569324
H2al1o,chrX,9471959,9672391
Dynlt3,chrX,9554269,9762983
Hypm,chrX,9746946,9947500
H2al3,chrX,9749702,9950252
Sytl5,chrX,9785620,10098864
Srpx,chrX,9937976,10217661
Rpgr,chrX,10058215,10316795
Otc,chrX,10152304,10421024
Tspan7,chrX,10385115,10696604
Mid1ip1,chrX,10617364,10819702
H2al1a,chrX,11199256,11409260
H2al1c,chrX,11199320,11424976
H2al1d,chrX,11199320,11424976
H2al1f,chrX,11199320,11424976
H2al1i,chrX,11199320,11424976
H2al1b,chrX,11202431,11402921
H2al1g,chrX,11208754,11421931
H2al1e,chrX,11211933,11412427
H2al1h,chrX,11218285,11421894
H2al1j,chrX,11227821,11428151
Bcor,chrX,11936737,12260355
Gm14635,chrX,12239778,12454996
Atp6ap2,chrX,12487758,12717051
Gm4984,chrX,12551882,12752820
1810030O07Rik,chrX,12554880,12773639
Med14,chrX,12575370,12861973
Gm14634,chrX,12662277,12921492
AA414768,chrX,12836872,13038541
5730405O15Rik,chrX,12942014,13145295
Usp9x,chrX,12971497,13273327
2010308F09Rik,chrX,13134640,13347733
Ddx3x,chrX,13181021,13393983
Nyx,chrX,13367671,13589313
Cask,chrX,13417080,13946556
Gpr34,chrX,13532768,13740858
Gpr82,chrX,13561362,13767433
Mir3473a,chrX,13619852,162974995
H2al1n,chrX,14111147,14311657
Ppp1r2-ps9,chrX,15010585,15211489
Cypt1,chrX,16422868,16623691
Cypt8,chrX,16422880,16623615
Cypt7,chrX,16422880,16623615
Maoa,chrX,16519697,16787812
Maob,chrX,16609280,16917366
Ndp,chrX,16785520,17011774
Efhc2,chrX,17032048,17419368
Fundc1,chrX,17455599,17672325
Dusp21,chrX,18045869,18246692
Kdm6a,chrX,18062574,18379936
4930578C19Rik,chrX,18314880,18561397
Mir221,chrX,19046293,19246388
Mir222,chrX,19046892,19246971
Chst7,chrX,19959569,20197520
Slc9a7,chrX,20005754,20391764
Rp2,chrX,20264480,20505653
Jade3,chrX,20325687,20619939
Rgn,chrX,20449817,20662087
Ndufb11,chrX,20515325,20717564
Rbm10,chrX,20517502,20750905
Uba1,chrX,20558301,20783179
Cdk16,chrX,20587953,20799879
Usp11,chrX,20603908,20820539
Araf,chrX,20748542,20960521
Syn1,chrX,20760510,21020918
Mir5617,chrX,20763125,20963182
Timp1,chrX,20770165,20974737
Cfp,chrX,20825453,21031555
Elk1,chrX,20833394,21050608
Uxt,chrX,20851664,21061978
A230072C01Rik,chrX,20861675,21087349
Zfp182,chrX,20926183,21162038
Spaca5,chrX,20968487,21177959
Zfp300,chrX,20979149,21189229
Ssxa1,chrX,21018413,21222088
4930453H23Rik,chrX,21106579,21321665
Gm6938,chrX,21212209,21434727
Gm5124,chrX,21260864,21464624
Agtr2,chrX,21384623,21588833
Slc6a14,chrX,21614899,21842357
Ppp1r2-ps7,chrX,22361595,22563543
Klhl13,chrX,23119270,23465082
Wdr44,chrX,23593050,23906001
Gm4907,chrX,23792762,24007550
Gm5934,chrX,24374307,24599163
Gm4297,chrX,24452249,24673305
Gm5935,chrX,24653161,24875164
Gm14632,chrX,24848450,35527093
Gm14819,chrX,24848450,35527093
