peak_name,chr,start,end,gene_number,gene_name
Merged-chr14-3034608-1,chr14,3034508,3034708,1,Gm2897
Merged-chr14-3043167-1,chr14,3043067,3043267,1,Gm2897
Merged-chr14-3050243-1,chr14,3050143,3050343,1,Gm2897
Merged-chr14-3057874-1,chr14,3057774,3057974,1,Gm2897
Merged-chr14-3063836-1,chr14,3063736,3063936,1,Gm2897
Merged-chr14-3198473-1,chr14,3198373,3198573,3,"Gm5795,D830030K20Rik,1700110I01Rik"
Merged-chr14-3217252-1,chr14,3217152,3217352,3,"Gm5795,D830030K20Rik,1700110I01Rik"
Merged-chr14-3340204-1,chr14,3340104,3340304,6,"Gm5795,D830030K20Rik,1700110I01Rik,Gm10413,Gm3020,Gm10409"
Merged-chr14-3420214-5,chr14,3420075,3420388,7,"Gm5795,D830030K20Rik,1700110I01Rik,Gm10413,Gm3020,Gm10409,Gm10408"
Merged-chr14-3500391-1,chr14,3500291,3500491,7,"Gm5795,D830030K20Rik,1700110I01Rik,Gm10413,Gm3020,Gm10409,Gm10408"
Merged-chr14-3579657-1,chr14,3579557,3579757,7,"Gm5795,D830030K20Rik,1700110I01Rik,Gm10413,Gm3020,Gm10409,Gm10408"
Merged-chr14-3653027-2,chr14,3652920,3653134,7,"Gm5795,D830030K20Rik,1700110I01Rik,Gm10413,Gm3020,Gm10409,Gm10408"
Merged-chr14-3659636-5,chr14,3659489,3659762,7,"Gm5795,D830030K20Rik,1700110I01Rik,Gm10413,Gm3020,Gm10409,Gm10408"
Merged-chr14-3817716-3,chr14,3817572,3817846,4,"Gm5795,D830030K20Rik,1700110I01Rik,Gm3002"
Merged-chr14-3856929-1,chr14,3856829,3857029,4,"Gm5795,D830030K20Rik,1700110I01Rik,Gm3002"
Merged-chr14-3886932-1,chr14,3886832,3887032,3,"Gm5795,D830030K20Rik,Gm3002"
Merged-chr14-3932591-1,chr14,3932491,3932691,2,"D830030K20Rik,Gm5796"
Merged-chr14-3956497-1,chr14,3956397,3956597,1,Gm5796
Merged-chr14-3975663-1,chr14,3975563,3975763,1,Gm5796
Merged-chr14-4011603-1,chr14,4011503,4011703,1,Gm5796
Merged-chr14-4026672-1,chr14,4026572,4026772,1,Gm5796
Merged-chr14-4100737-1,chr14,4100637,4100837,1,Gm5796
Merged-chr14-4110489-1,chr14,4110389,4110589,1,Gm5796
Merged-chr14-4118086-3,chr14,4117983,4118190,1,Gm5796
Merged-chr14-4129339-1,chr14,4129239,4129439,1,Gm5796
Merged-chr14-4190198-2,chr14,4190077,4190320,0,NA
Merged-chr14-4204549-1,chr14,4204449,4204649,0,NA
Merged-chr14-4252172-1,chr14,4252072,4252272,1,2610042L04Rik
Merged-chr14-4304526-1,chr14,4304426,4304626,1,2610042L04Rik
Merged-chr14-4382236-1,chr14,4382136,4382336,2,"2610042L04Rik,Gm3264"
Merged-chr14-4423059-1,chr14,4422959,4423159,2,"2610042L04Rik,Gm3264"
Merged-chr14-4500086-1,chr14,4499986,4500186,1,Gm3264
Merged-chr14-4506863-3,chr14,4506638,4507046,1,Gm3264
Merged-chr14-4584160-1,chr14,4584060,4584260,1,Gm3264
Merged-chr14-4643529-1,chr14,4643429,4643629,1,Gm3264
Merged-chr14-4649476-2,chr14,4649373,4649580,1,Gm3264
Merged-chr14-4657095-2,chr14,4656986,4657205,1,Gm3264
Merged-chr14-4676306-1,chr14,4676206,4676406,1,Gm3264
Merged-chr14-4733771-1,chr14,4733671,4733871,1,Gm3264
Merged-chr14-4750257-1,chr14,4750157,4750357,1,Gm3264
Merged-chr14-4779204-1,chr14,4779104,4779304,1,Gm3264
Merged-chr14-4796310-1,chr14,4796210,4796410,1,Gm3264
Merged-chr14-4822711-1,chr14,4822611,4822811,1,Gm3264
Merged-chr14-4841690-1,chr14,4841590,4841790,1,Gm3264
Merged-chr14-4863186-3,chr14,4863001,4863390,1,Gm3264
Merged-chr14-4873385-1,chr14,4873285,4873485,1,Gm3264
Merged-chr14-4969141-1,chr14,4969041,4969241,2,"Gm3264,4930555G01Rik"
Merged-chr14-5008791-1,chr14,5008691,5008891,1,4930555G01Rik
Merged-chr14-5025313-1,chr14,5025213,5025413,1,4930555G01Rik
Merged-chr14-5027996-1,chr14,5027896,5028096,1,4930555G01Rik
Merged-chr14-5063828-1,chr14,5063728,5063928,3,"4930555G01Rik,Gm3317,Gm3488"
Merged-chr14-5078634-2,chr14,5078500,5078768,3,"4930555G01Rik,Gm3317,Gm3488"
Merged-chr14-5156650-1,chr14,5156550,5156750,3,"4930555G01Rik,Gm3317,Gm3488"
Merged-chr14-5246466-1,chr14,5246366,5246566,2,"Gm3317,Gm3488"
Merged-chr14-5332311-1,chr14,5332211,5332411,3,"Gm3317,Gm3488,Gm3500"
Merged-chr14-5380464-1,chr14,5380364,5380564,4,"Gm3317,Gm3488,Gm3500,Gm3383"
Merged-chr14-5430448-1,chr14,5430348,5430548,4,"Gm3317,Gm3488,Gm3500,Gm3383"
Merged-chr14-5452729-2,chr14,5452602,5452856,4,"Gm3317,Gm3488,Gm3500,Gm3383"
Merged-chr14-5460142-1,chr14,5460042,5460242,4,"Gm3317,Gm3488,Gm3500,Gm3383"
Merged-chr14-5460706-1,chr14,5460606,5460806,4,"Gm3317,Gm3488,Gm3500,Gm3383"
Merged-chr14-5599074-1,chr14,5598974,5599174,4,"Gm3317,Gm3488,Gm3500,Gm3383"
Merged-chr14-5631232-1,chr14,5631132,5631332,2,"Gm3500,Gm3383"
Merged-chr14-5684840-1,chr14,5684740,5684940,2,"Gm3500,Gm3383"
Merged-chr14-5733007-2,chr14,5732890,5733124,2,"Gm3500,Gm3383"
Merged-chr14-5782935-1,chr14,5782835,5783035,2,"Gm3500,Gm3383"
Merged-chr14-5805206-1,chr14,5805106,5805306,2,"Gm3500,Gm3383"
Merged-chr14-5812623-2,chr14,5812512,5812735,2,"Gm3500,Gm3383"
Merged-chr14-5812882-1,chr14,5812782,5812982,2,"Gm3500,Gm3383"
Merged-chr14-5813105-2,chr14,5812990,5813221,2,"Gm3500,Gm3383"
Merged-chr14-5871608-1,chr14,5871508,5871708,1,Gm3383
Merged-chr14-6024327-1,chr14,6024227,6024427,0,NA
Merged-chr14-6053623-1,chr14,6053523,6053723,0,NA
Merged-chr14-6073405-1,chr14,6073305,6073505,0,NA
Merged-chr14-6100995-1,chr14,6100895,6101095,0,NA
Merged-chr14-6108752-14,chr14,6108617,6108933,0,NA
Merged-chr14-6161915-1,chr14,6161815,6162015,1,LOC100861615
Merged-chr14-6168033-1,chr14,6167933,6168133,1,LOC100861615
Merged-chr14-6274562-3,chr14,6274442,6274684,1,LOC100861615
Merged-chr14-6337783-1,chr14,6337683,6337883,1,LOC100861615
Merged-chr14-6426036-1,chr14,6425936,6426136,0,NA
Merged-chr14-6459938-1,chr14,6459838,6460038,0,NA
Merged-chr14-6496902-1,chr14,6496802,6497002,0,NA
Merged-chr14-6534421-1,chr14,6534321,6534521,0,NA
Merged-chr14-6597644-5,chr14,6597466,6597782,0,NA
Merged-chr14-6605213-12,chr14,6605047,6605381,0,NA
Merged-chr14-6698533-1,chr14,6698433,6698633,1,Gm3636
Merged-chr14-6749422-5,chr14,6749144,6749616,1,Gm3636
Merged-chr14-6757301-20,chr14,6757109,6757456,1,Gm3636
Merged-chr14-6757822-1,chr14,6757722,6757922,1,Gm3636
Merged-chr14-6851037-1,chr14,6850937,6851137,1,Gm3636
Merged-chr14-6861219-1,chr14,6861119,6861319,0,NA
Merged-chr14-6865731-1,chr14,6865631,6865831,0,NA
Merged-chr14-6882254-2,chr14,6882141,6882367,0,NA
Merged-chr14-6904487-1,chr14,6904387,6904587,0,NA
Merged-chr14-6960074-1,chr14,6959974,6960174,1,Gm10406
Merged-chr14-7026564-1,chr14,7026464,7026664,2,"Gm10406,Gm3696"
Merged-chr14-7097865-2,chr14,7097757,7097973,2,"Gm10406,Gm3696"
Merged-chr14-7102826-1,chr14,7102726,7102926,2,"Gm10406,Gm3696"
Merged-chr14-7105481-13,chr14,7105086,7105866,2,"Gm10406,Gm3696"
Merged-chr14-7128931-1,chr14,7128831,7129031,1,Gm3696
Merged-chr14-7161069-1,chr14,7160969,7161169,1,Gm3696
Merged-chr14-7166938-2,chr14,7166829,7167048,1,Gm3696
Merged-chr14-7174388-6,chr14,7174195,7174531,1,Gm3696
Merged-chr14-7174926-3,chr14,7174800,7175059,1,Gm3696
Merged-chr14-7198060-1,chr14,7197960,7198160,1,Gm3696
Merged-chr14-7230053-1,chr14,7229953,7230153,1,Gm5797
Merged-chr14-7235979-1,chr14,7235879,7236079,1,Gm5797
