gene_name,chrom,txStart,txEnd
Pisd-ps1,chr11,3024020,3231944
Sfi1,chr11,3031849,3293463
Eif4enif1,chr11,3102352,3344588
Mir3470a,chr11,3139901,3562990
Drg1,chr11,3149921,3366386
Patz1,chr11,3189130,3409083
Gm11944,chr11,3208999,3420722
Pik3ip1,chr11,3230730,3442971
Limk2,chr11,3243296,3509238
Rnf185,chr11,3315972,3552956
8430429K09Rik,chr11,3352436,3579831
Pla2g3,chr11,3388226,3594166
Inpp5j,chr11,3394271,3604821
Selenom,chr11,3414683,3617351
Smtn,chr11,3417521,3639292
Tug1,chr11,3539784,3748814
Morc2a,chr11,3549493,3790372
Osbp2,chr11,3603730,3963903
4921536K21Rik,chr11,3786087,3995126
Dusp18,chr11,3795239,4001296
Slc35e4,chr11,3807021,4014664
Tcn2,chr11,3817077,4032078
Pes1,chr11,3863974,4080004
Gal3st1,chr11,3883635,4099328
Sec14l4,chr11,3931781,4148009
Sec14l3,chr11,3964852,4178990
Mtfp1,chr11,3991480,4195431
Sec14l2,chr11,3997039,4218729
Rnf215,chr11,4035159,4241192
Mir3060,chr11,4039363,4239446
Ccdc157,chr11,4041123,4260293
Sf3a1,chr11,4060353,4282541
Tbc1d10a,chr11,4086832,4315505
Gatsl3,chr11,4118250,4322409
Osm,chr11,4136784,4341026
Lif,chr11,4157567,4372514
Hormad2,chr11,4246382,4541082
Mtmr3,chr11,4380867,4694815
Gm11961,chr11,4520274,4730011
Ascc2,chr11,4537792,4783386
Uqcr10,chr11,4601967,4804344
Zmat5,chr11,4604677,4837666
Cabp7,chr11,4638820,4846778
Nf2,chr11,4665844,4949544
Nipsnap1,chr11,4774002,4994200
Mir6918,chr11,4791344,4991402
Thoc5,chr11,4795342,5028865
AA413626,chr11,4818515,5018918
Nefh,chr11,4838755,5048064
Ap1b1,chr11,4847520,5142794
Gas2l1,chr11,4954130,5165327
Rasl10a,chr11,4958127,5160383
Ewsr1,chr11,4969686,5199088
Rhbdd3,chr11,4999272,5206100
Emid1,chr11,5006265,5252222
Kremen1,chr11,5091552,5361610
Mir3079,chr11,5154597,5354622
Znrf3,chr11,5176328,5544847
Xbp1,chr11,5420640,5625993
Ccdc117,chr11,5428887,5642217
Ankrd36,chr11,5469683,5789337
Mrps24,chr11,5603982,5807699
Urgcp,chr11,5613416,5862376
Ube2d-ps,chr11,5662149,5884710
Dbnl,chr11,5688482,5900980
Pgam2,chr11,5701636,5903796
Polm,chr11,5727859,5938016
Aebp1,chr11,5761865,5972248
Pold2,chr11,5772179,5978256
Myl7,chr11,5796636,5998782
Gck,chr11,5800820,6050081
Ykt6,chr11,5855757,6067781
Camk2b,chr11,5869665,6165748
Nudcd3,chr11,6005691,6300451
Rps15a-ps6,chr11,6072507,6273331
Npc1l1,chr11,6111010,6330245
Ddx56,chr11,6157544,6367729
Tmed4,chr11,6170713,6374837
Ogdh,chr11,6191596,6459094
Zmiz2,chr11,6295124,6506162
Mir7651,chr11,6301629,6501693
Ppia,chr11,6315869,6519810
H2afv,chr11,6327225,6544443
Purb,chr11,6367598,6576076
Myo1g,chr11,6406547,6620958
Snhg15,chr11,6425590,6628760
Ccm2,chr11,6446886,6696761
Nacad,chr11,6497822,6706054
Tbrg4,chr11,6515597,6726067
Snora5c,chr11,6520318,6720419
Wap,chr11,6535482,6738649
Gm11978,chr11,6550147,6760236
Ramp3,chr11,6558532,6777475
Gm11981,chr11,6616000,6820037
Adcy1,chr11,6963488,7278505
Gm11985,chr11,7083156,7288569
Igfbp1,chr11,7097786,7302546
Igfbp3,chr11,7106090,7313923
Tns3,chr11,8331651,8764535
Hus1,chr11,8893136,9111191
Sun3,chr11,8916053,9148991
Gm11992,chr11,8948591,9169354
Upp1,chr11,9018007,9236170
