gene_name,chrom,txStart,txEnd
Gm8579,chr6,3188518,3417019
Samd9l,chr6,3272257,3499571
Hepacam2,chr6,3357088,3594498
Vps50,chr6,3398392,3703531
Calcr,chr6,3585719,3864713
Mir653,chr6,3621300,3821385
Mir489,chr6,3621896,3822003
Tfpi2,chr6,3862588,4088858
Gngt1,chr6,3894011,4097436
Gng11,chr6,3903986,4108446
4930528H21Rik,chr6,3931840,4147584
Bet1,chr6,3976903,4186927
Col1a2,chr6,4405617,4641543
Casd1,chr6,4501065,4743381
Sgce,chr6,4574349,4847204
Peg10,chr6,4647305,4860516
Ppp1r9a,chr6,4803319,5265661
Pon1,chr6,5068089,5293946
Pon3,chr6,5120851,5356233
Pon2,chr6,5164623,5398373
Asb4,chr6,5283385,5533021
Pdk4,chr6,5383350,5596278
Dync1i1,chr6,5625638,6128039
1700019G24Rik,chr6,5863896,6077393
Slc25a13,chr6,5941217,6317173
Gm20619,chr6,6148658,6477422
Sem1,chr6,6458274,6678658
Dlx6os1,chr6,6720545,6969533
Dlx6,chr6,6763333,6967970
Dlx6os2,chr6,6763796,6965150
Dlx5,chr6,6777800,6982068
Sdhaf3,chr6,6856017,7139220
Tac1,chr6,7454884,7662978
Asns,chr6,7575170,7793182
C1galt1,chr6,7745223,7972042
Col28a1,chr6,7897807,8292617
Mios,chr6,8109226,8336273
Rpa3,chr6,8155935,8359141
Umad1,chr6,8159287,8528765
A430035B10Rik,chr6,8407058,8609161
Glcci1,chr6,8409599,8697549
Ica1,chr6,8530526,8878484
Nxph1,chr6,8850018,9348578
AA545190,chr6,10871467,11074378
Ndufa4,chr6,11800372,12007446
Phf14,chr6,11825880,12181198
Gm6578,chr6,11999520,12209580
Thsd7a,chr6,12211607,12849253
Tmem106b,chr6,12969758,13189269
Vwde,chr6,13085610,13324965
1700016P04Rik,chr6,13313336,13515996
Tmem168,chr6,13480688,13708098
Bmt2,chr6,13525674,13777966
Gpr85,chr6,13734451,13939942
2610001J05Rik,chr6,13769073,13971483
1110019D14Rik,chr6,13771568,13996421
Ppp1r3a,chr6,14613821,14855274
Foxp2,chr6,14801348,15541977
Mdfic,chr6,15620660,15902169
Tfec,chr6,16733380,16998441
Tes,chr6,16965148,17205825
D830026I12Rik,chr6,17097750,17305695
Cav2,chr6,17181184,17389130
Cav1,chr6,17206334,17441328
Met,chr6,17363956,17673980
Capza2,chr6,17537097,17766536
St7,chr6,17593993,18043023
Wnt2,chr6,17888939,18130445
Asz1,chr6,17950963,18209061
Cftr,chr6,18070686,18422769
Cttnbp2,chr6,18266476,18614825
Lsm8,chr6,18748634,18954052
Ankrd7,chr6,18766317,18979584
4930524B17Rik,chr6,19147898,19378843
Mir6370,chr6,19455341,19655461
Kcnd2,chr6,21116108,21829805
Tspan12,chr6,21671394,21952515
Ing3,chr6,21849570,22076038
Cped1,chr6,21885909,22355606
