peak_name,chr,start,end
Merged-chr8-3086400-1,chr8,3086300,3086500
Merged-chr8-3120700-1,chr8,3120600,3120800
Merged-chr8-3121913-1,chr8,3121813,3122013
Merged-chr8-3145537-1,chr8,3145437,3145637
Merged-chr8-3147501-1,chr8,3147401,3147601
Merged-chr8-3153890-3,chr8,3153749,3154057
Merged-chr8-3157743-1,chr8,3157643,3157843
Merged-chr8-3158641-1,chr8,3158541,3158741
Merged-chr8-3159935-1,chr8,3159835,3160035
Merged-chr8-3161554-1,chr8,3161454,3161654
Merged-chr8-3163350-1,chr8,3163250,3163450
Merged-chr8-3171648-1,chr8,3171548,3171748
Merged-chr8-3182001-4,chr8,3181849,3182153
Merged-chr8-3186656-1,chr8,3186556,3186756
Merged-chr8-3186872-1,chr8,3186772,3186972
Merged-chr8-3189946-1,chr8,3189846,3190046
Merged-chr8-3191584-1,chr8,3191484,3191684
Merged-chr8-3193998-1,chr8,3193898,3194098
Merged-chr8-3205249-9,chr8,3205048,3205457
Merged-chr8-3211923-1,chr8,3211823,3212023
Merged-chr8-3212819-1,chr8,3212719,3212919
Merged-chr8-3214956-1,chr8,3214856,3215056
Merged-chr8-3215646-1,chr8,3215546,3215746
Merged-chr8-3221189-63,chr8,3221001,3221543
Merged-chr8-3221734-4,chr8,3221620,3221848
Merged-chr8-3227943-2,chr8,3227801,3228086
Merged-chr8-3228606-4,chr8,3228456,3228740
Merged-chr8-3230241-2,chr8,3230129,3230354
Merged-chr8-3234074-2,chr8,3233959,3234190
Merged-chr8-3239069-1,chr8,3238969,3239169
Merged-chr8-3242694-1,chr8,3242594,3242794
Merged-chr8-3243909-1,chr8,3243809,3244009
Merged-chr8-3245852-1,chr8,3245752,3245952
Merged-chr8-3247340-40,chr8,3247150,3247555
Merged-chr8-3248846-24,chr8,3248506,3249035
Merged-chr8-3253289-1,chr8,3253189,3253389
Merged-chr8-3255299-1,chr8,3255199,3255399
Merged-chr8-3259348-1,chr8,3259248,3259448
Merged-chr8-3260462-17,chr8,3260316,3260633
Merged-chr8-3260977-4,chr8,3260827,3261130
Merged-chr8-3261375-1,chr8,3261275,3261475
Merged-chr8-3262239-1,chr8,3262139,3262339
Merged-chr8-3266498-1,chr8,3266398,3266598
Merged-chr8-3266810-1,chr8,3266710,3266910
Merged-chr8-3267499-2,chr8,3267363,3267636
Merged-chr8-3274220-1,chr8,3274120,3274320
Merged-chr8-3278314-4,chr8,3278153,3278473
Merged-chr8-3279553-59,chr8,3278973,3279823
Merged-chr8-3280001-1,chr8,3279901,3280101
Merged-chr8-3280733-1,chr8,3280633,3280833
Merged-chr8-3287660-2,chr8,3287548,3287773
Merged-chr8-3290939-1,chr8,3290839,3291039
Merged-chr8-3298536-1,chr8,3298436,3298636
Merged-chr8-3301895-1,chr8,3301795,3301995
Merged-chr8-3303142-1,chr8,3303042,3303242
Merged-chr8-3304755-2,chr8,3304623,3304887
Merged-chr8-3308561-2,chr8,3308428,3308694
Merged-chr8-3309792-1,chr8,3309692,3309892
Merged-chr8-3314059-2,chr8,3313906,3314213
Merged-chr8-3318122-1,chr8,3318022,3318222
Merged-chr8-3324551-30,chr8,3324237,3324791
Merged-chr8-3328040-25,chr8,3327804,3328209
Merged-chr8-3328641-1,chr8,3328541,3328741
Merged-chr8-3330910-6,chr8,3330762,3331091
Merged-chr8-3334185-1,chr8,3334085,3334285
Merged-chr8-3334524-1,chr8,3334424,3334624
Merged-chr8-3336083-10,chr8,3335956,3336215
Merged-chr8-3336767-1,chr8,3336667,3336867
Merged-chr8-3337218-32,chr8,3336906,3337494
Merged-chr8-3338401-1,chr8,3338301,3338501
Merged-chr8-3345170-1,chr8,3345070,3345270
Merged-chr8-3346790-2,chr8,3346599,3346982
Merged-chr8-3347125-1,chr8,3347025,3347225
Merged-chr8-3352504-1,chr8,3352404,3352604
Merged-chr8-3353337-46,chr8,3353157,3353521
Merged-chr8-3354215-1,chr8,3354115,3354315
Merged-chr8-3354598-44,chr8,3354456,3354754
Merged-chr8-3355777-61,chr8,3355538,3355991
Merged-chr8-3358269-1,chr8,3358169,3358369
Merged-chr8-3362673-1,chr8,3362573,3362773
Merged-chr8-3365809-3,chr8,3365653,3365960
Merged-chr8-3368270-5,chr8,3368069,3368502
Merged-chr8-3369289-1,chr8,3369189,3369389
Merged-chr8-3371267-1,chr8,3371167,3371367
