gene_name,chrom,txStart,txEnd
Vmn1r2,chr4,3072082,3273003
Vmn1r3,chr4,3084384,3285305
Mir3471-2,chr4,3437089,3637191
Tmem68,chr4,3449040,3674768
Tgs1,chr4,3474878,3716623
2210414B05Rik,chr4,3556505,3763108
Lyn,chr4,3578120,3891612
6330407A03Rik,chr4,3614963,3816806
Rps20,chr4,3731583,3935655
Mos,chr4,3770657,3972105
Plag1,chr4,3801157,4038405
Chchd7,chr4,3838887,4051382
Sdr16c5,chr4,3895941,4119663
Sdr16c6,chr4,3956665,4177514
Penk,chr4,4033535,4238815
Gm11780,chr4,4427773,4629458
Impad1,chr4,4664350,4893306
4930423M02Rik,chr4,5532327,5742284
Fam110b,chr4,5544178,5899944
Ubxn2b,chr4,6091104,6319788
Cyp7a1,chr4,6165611,6375631
Sdcbp,chr4,6265679,6496122
Nsmaf,chr4,6296207,6554271
Tox,chr4,6587385,7090723
8430436N08Rik,chr4,7460687,7673801
Car8,chr4,8041492,8339041
Rab2a,chr4,8435643,8707702
Chd7,chr4,8590405,8968449
Clvs1,chr4,9169316,9551691
Asph,chr4,9349084,9769344
4930412C18Rik,chr4,9670584,9923411
Gdf6,chr4,9744371,9962345
4930448K20Rik,chr4,9815964,10017397
1700123O12Rik,chr4,10408030,10897802
2610301B20Rik,chr4,10774497,10999423
Plekhf2,chr4,10888661,11107619
Ndufaf6,chr4,10951045,11176205
Mir684-2,chr4,11034096,11234182
Trp53inp1,chr4,11056440,11274377
Ccne2,chr4,11091350,11304779
Ints8,chr4,11099157,11354259
Dpy19l4,chr4,11165078,11422131
Esrp1,chr4,11231932,11486783
1110037F02Rik,chr4,11385957,11651143
Rad54b,chr4,11458919,11715808
Fsbp,chr4,11479661,11687802
Gem,chr4,11604446,11814993
Cdh17,chr4,11658156,11917905
Pdp1,chr4,11858182,12066450
1700123M08Rik,chr4,11866573,12094295
Tmem67,chr4,11939355,12188007
Rbm12b2,chr4,11989369,12196271
Rbm12b1,chr4,12040116,12246746
Fam92a,chr4,12053141,12272015
Triqk,chr4,12806836,13081485
Runx1t1,chr4,13643301,13995055
Gm2560,chr4,14112011,14391309
Slc26a7,chr4,14405196,14721778
Lrrc69,chr4,14565753,14896052
Otud6b,chr4,14709504,14926587
Tmem55a,chr4,14764218,15015260
Gm11837,chr4,14830640,15053030
Necab1,chr4,14852244,15249131
Tmem64,chr4,15165819,15386753
Calb1,chr4,15781263,16006709
Decr1,chr4,15817239,16045507
Mir6400,chr4,15842899,16042991
Nbn,chr4,15857966,16092589
Osgin2,chr4,15897120,16113877
Ripk2,chr4,16022740,16263643
A530072M11Rik,chr4,16064109,16366225
Mmp16,chr4,17752892,18218734
Cngb3,chr4,19180849,19610623
Cpne3,chr4,19419251,19670104
Rmdn1,chr4,19475065,19706932
Wwp1,chr4,19508299,19809004
Slc7a13,chr4,19718726,19942213
Atp6v0d2,chr4,19776837,20022566
4930480G23Rik,chr4,19879444,20105739
Ttpa,chr4,19908242,20130822
Ggh,chr4,19942051,20166111
Nkain3,chr4,20018873,20878668
Prdm13,chr4,21577479,21785963
Ccnc,chr4,21627700,21859922
Tstd3,chr4,21657381,21867211
Usp45,chr4,21676269,21937872
4930528A17Rik,chr4,21746326,21948448
Pnisr,chr4,21747582,21976475
Coq3,chr4,21779674,22012126
Faxc,chr4,21831325,22101461
Fbxl4,chr4,22257542,22534091
Pou3f2,chr4,22382094,22588366
Gm30731,chr4,22390547,22593126
Mms22l,chr4,24396461,24702948
Klhl32,chr4,24517272,24951086
Ndufaf4,chr4,24798082,25005001
Gpr63,chr4,24873418,25109233
Fhl5,chr4,25099908,25342876
Ufl1,chr4,25148585,25381821
Fut9,chr4,25509332,25900003
Manea,chr4,26224505,26446652
4930548K13Rik,chr4,26535819,26805449
Epha7,chr4,28713130,29067503
4930556G01Rik,chr4,30564595,30955744
Map3k7,chr4,31864106,32123466
Bach2,chr4,32317434,32686108
Bach2os,chr4,32459679,32671662
Gja10,chr4,32500864,32702382
Casp8ap2,chr4,32515469,32753271
Mdn1,chr4,32557118,32875217
Lyrm2,chr4,32700258,32902254
Ankrd6,chr4,32704034,33050826
Rragd,chr4,32882997,33122180
4933421O10Rik,chr4,32927138,33131323
Ube2j1,chr4,32931424,33152364
Gabrr2,chr4,32963111,33195865
Gabrr1,chr4,33032555,33263588
Pm20d2,chr4,33070405,33289737
Srsf12,chr4,33108990,33333340
Pnrc1,chr4,33145422,33348787
Rngtt,chr4,33210310,33602614
Mir8118,chr4,33338080,33538209
Cnr1,chr4,33824631,34048831
Spaca1,chr4,33924871,34150067
Akirin2,chr4,34450614,34666908
Orc3,chr4,34466780,34714942
Rars2,chr4,34514957,34760167
Slc35a1,chr4,34563256,34787438
Cfap206,chr4,34588573,34830206
Gm136,chr4,34643787,34856259
Smim8,chr4,34668669,34878366
Zfp292,chr4,34703109,34982948
Cga,chr4,34793778,35007374
Platr9,chr4,34809788,35011481
Mob3b,chr4,34849073,35257484
Ifnk,chr4,35052054,35254019
3110043O21Rik,chr4,35091281,35325880
Lingo2,chr4,35606647,37051744
Mir876,chr4,36545372,36745453
Mir873b,chr4,36568509,36768586
Mir873a,chr4,36568509,36768586
1700009N14Rik,chr4,39350292,39551778
Aco1,chr4,40043264,40299009
Ddx58,chr4,40103776,40339825
Topors,chr4,40159605,40369841
Toporsos,chr4,40169578,40370228
Ndufb6,chr4,40170590,40379421
4930509K18Rik,chr4,40213231,40417719
Tmem215,chr4,40372179,40575653
4933428C19Rik,chr4,40382839,40625548
Aptx,chr4,40582077,40803194
Gm6297,chr4,40620153,40822841
Dnaja1,chr4,40622467,40834965
Mir207,chr4,40622916,40822995
Smu1,chr4,40635648,40857885
B4galt1,chr4,40704581,40954537
Mir5123,chr4,40750055,40950138
Spink4,chr4,40820055,41031395
Bag1,chr4,40836397,41048294
Chmp5,chr4,40848552,41065302
Nfx1,chr4,40870905,41125992
Mir3094,chr4,40893694,41093758
Aqp7,chr4,40933073,41148136
Aqp3,chr4,40992723,41198183
Nol6,chr4,41014426,41224339
Ube2r2,chr4,41036020,41293370
Ubap2,chr4,41094314,41375135
Dcaf12,chr4,41191299,41414901
Ubap1,chr4,41248995,41489766
Kif24,chr4,41290747,41564848
Nudt2,chr4,41365147,41580926
AI464131,chr4,41395600,41603075
1110017D15Rik,chr4,41405008,41617333
Fam219aos,chr4,41417436,41618929
Fam219a,chr4,41418928,41669527
Dnaic1,chr4,41469793,41738158
Enho,chr4,41538143,41740302
Cntfr,chr4,41557497,41797091
Rpp25l,chr4,41612032,41813517
Dctn3,chr4,41614797,41823163
Arid3c,chr4,41623835,41831142
Sigmar1,chr4,41638492,41841359
Galt,chr4,41655227,41859224
Il11ra1,chr4,41660442,41869473
Ccl27a,chr4,41669469,41874176
Gm3893,chr4,41789794,42333950
Gm21541,chr4,41803612,42713253
Gm13304,chr4,41803612,42713253
Ccl21c,chr4,41803612,42713253
Gm10591,chr4,41803612,42713253
Ccl21b,chr4,41803648,42713253
Gm20878,chr4,41841633,42539974
Gm21586,chr4,41841633,42539974
Gm13308,chr4,41841633,42540009
Fam205a2,chr4,41866057,42628237
4933409K07Rik,chr4,41931295,42562993
Ccl27b,chr4,42053444,42756005
Gm13306,chr4,42053444,42756005
LOC100861978,chr4,42053444,42756005
Gm2506,chr4,42056749,42756005
Gm2002,chr4,42058115,42765763
Il11ra2,chr4,42058115,42765763
Gm13305,chr4,42058841,42765762
Ccl19,chr4,42654524,42856518
Ccl21a,chr4,42672859,42873991
Gm1987,chr4,42672859,42873993
Fam205a1,chr4,42748070,42953888
Fam205c,chr4,42768002,42974203
Phf24,chr4,42817242,43044750
Dnajb5,chr4,42853093,43058732
1700022I11Rik,chr4,42869945,43074325
Vcp,chr4,42879963,43100507
Fancg,chr4,42902336,43110301
Pigo,chr4,42917625,43125814
Stoml2,chr4,42927689,43131384
Fam214b,chr4,42932413,43146220
Unc13b,chr4,42958952,43364873
Atp8b5,chr4,43167158,43473831
Rusc2,chr4,43281981,43527092
Fam166b,chr4,43327019,43529134
Tesk1,chr4,43342276,43548075
Cd72,chr4,43347723,43554626
Sit1,chr4,43382082,43583709
Rmrp,chr4,43392784,43593059
Ccdc107,chr4,43393364,43595921
Arhgef39,chr4,43396143,43599660
Car9,chr4,43407025,43613725
Tpm2,chr4,43413725,43623554
Tln1,chr4,43431512,43662583
Creb3,chr4,43462633,43667060
