peak_name,chr,start,end,gene_number,gene_name
Merged-chr6-3050599-2,chr6,3050443,3050755,0,NA
Merged-chr6-3070251-1,chr6,3070151,3070351,0,NA
Merged-chr6-3101851-1,chr6,3101751,3101951,0,NA
Merged-chr6-3116466-8,chr6,3116318,3116608,0,NA
Merged-chr6-3132038-1,chr6,3131938,3132138,0,NA
Merged-chr6-3166310-7,chr6,3166169,3166435,0,NA
Merged-chr6-3170931-1,chr6,3170831,3171031,0,NA
Merged-chr6-3178218-1,chr6,3178118,3178318,0,NA
Merged-chr6-3183115-47,chr6,3182759,3183493,0,NA
Merged-chr6-3184016-18,chr6,3183831,3184165,0,NA
Merged-chr6-3184547-1,chr6,3184447,3184647,0,NA
Merged-chr6-3192567-1,chr6,3192467,3192667,1,Gm8579
Merged-chr6-3200942-1,chr6,3200842,3201042,1,Gm8579
Merged-chr6-3216634-1,chr6,3216534,3216734,1,Gm8579
Merged-chr6-3219498-1,chr6,3219398,3219598,1,Gm8579
Merged-chr6-3236056-2,chr6,3235908,3236204,1,Gm8579
Merged-chr6-3258607-1,chr6,3258507,3258707,1,Gm8579
Merged-chr6-3266843-1,chr6,3266743,3266943,1,Gm8579
Merged-chr6-3295085-1,chr6,3294985,3295185,2,"Gm8579,Samd9l"
Merged-chr6-3308100-1,chr6,3308000,3308200,2,"Gm8579,Samd9l"
Merged-chr6-3318803-1,chr6,3318703,3318903,2,"Gm8579,Samd9l"
Merged-chr6-3319804-2,chr6,3319703,3319905,2,"Gm8579,Samd9l"
Merged-chr6-3323166-1,chr6,3323066,3323266,2,"Gm8579,Samd9l"
Merged-chr6-3325228-1,chr6,3325128,3325328,2,"Gm8579,Samd9l"
Merged-chr6-3327758-5,chr6,3327626,3327904,2,"Gm8579,Samd9l"
Merged-chr6-3335762-1,chr6,3335662,3335862,2,"Gm8579,Samd9l"
Merged-chr6-3341114-10,chr6,3340941,3341285,2,"Gm8579,Samd9l"
Merged-chr6-3342449-1,chr6,3342349,3342549,2,"Gm8579,Samd9l"
Merged-chr6-3343718-14,chr6,3343580,3343888,2,"Gm8579,Samd9l"
