gene_name,chrom,txStart,txEnd
Pisd-ps2,chr17,2964317,3184183
Scaf8,chr17,3014971,3298859
Tiam2,chr17,3226572,3619397
Tfb1m,chr17,3419255,3657713
Cldn20,chr17,3432553,3633213
1700102H20Rik,chr17,3457823,3659863
Nox3,chr17,3535239,3796261
4930470H14Rik,chr17,3944657,4182995
4930548J01Rik,chr17,4019445,4222102
4930517M08Rik,chr17,4534979,4737477
Arid1b,chr17,4895073,5447656
Tmem242,chr17,5310863,5540260
Ldhal6b,chr17,5317322,5518767
Gm8363,chr17,5380988,5583069
Zdhhc14,chr17,5392599,5853891
3300005D01Rik,chr17,5698656,5903242
Snx9,chr17,5741379,6030711
Synj2,chr17,5841279,6144290
Serac1,chr17,5940570,6179739
Gtf2h5,chr17,5979827,6185485
Tulp4,chr17,6006829,6340637
Tmem181a,chr17,6170469,6408314
Dynlt1a,chr17,6206343,6417474
Dynlt1b,chr17,6330111,6536295
Tmem181b-ps,chr17,6339001,6550994
Dynlt1f,chr17,6501670,6755939
Dynlt1c,chr17,6501778,6755831
Tmem181c-ps,chr17,6510102,6720925
Sytl3,chr17,6573609,6838044
Ezr,chr17,6638130,6882780
Mir692-1,chr17,6795228,6995337
Rsph3b,chr17,6804715,7048356
Tagap1,chr17,6854964,7061156
Rnaset2b,chr17,6878859,8247832
Gm1604b,chr17,6925542,8201228
Rps6ka2,chr17,7070114,7403316
Tcp10a,chr17,7224659,7445860
Ttll2,chr17,7250903,7452696
Gm9992,chr17,7263711,7485305
Fndc1,chr17,7638567,7904974
Tagap,chr17,7825999,8034897
Rsph3a,chr17,7845613,8079556
Rnaset2a,chr17,8028597,8247788
Fgfr1op,chr17,8065517,8296470
Ccr6,chr17,8136042,8357129
Mpc1,chr17,8183812,8397661
4930506C21Rik,chr17,8193365,8411118
Sft2d1,chr17,8211102,8427442
Prr18,chr17,8240405,8444113
T2,chr17,8272395,8522726
Gm16702,chr17,8279044,8489468
T,chr17,8334422,8542496
Pde10a,chr17,8426800,9086648
