peak_name,chr,start,end
Merged-chr12-3017073-1,chr12,3016973,3017173
Merged-chr12-3046395-1,chr12,3046295,3046495
Merged-chr12-3096026-1,chr12,3095926,3096126
Merged-chr12-3098378-15,chr12,3098230,3098518
Merged-chr12-3115446-1,chr12,3115346,3115546
Merged-chr12-3158227-2,chr12,3158041,3158413
Merged-chr12-3177537-1,chr12,3177437,3177637
Merged-chr12-3179918-1,chr12,3179818,3180018
Merged-chr12-3181103-1,chr12,3181003,3181203
Merged-chr12-3214263-1,chr12,3214163,3214363
Merged-chr12-3222184-1,chr12,3222084,3222284
Merged-chr12-3224458-1,chr12,3224358,3224558
Merged-chr12-3235558-98,chr12,3235274,3236051
Merged-chr12-3236711-1,chr12,3236611,3236811
Merged-chr12-3237880-1,chr12,3237780,3237980
Merged-chr12-3239055-2,chr12,3238906,3239204
Merged-chr12-3243235-1,chr12,3243135,3243335
Merged-chr12-3244790-1,chr12,3244690,3244890
Merged-chr12-3246420-1,chr12,3246320,3246520
Merged-chr12-3247243-1,chr12,3247143,3247343
Merged-chr12-3252594-1,chr12,3252494,3252694
Merged-chr12-3253790-14,chr12,3253618,3253965
Merged-chr12-3258628-1,chr12,3258528,3258728
Merged-chr12-3259540-1,chr12,3259440,3259640
Merged-chr12-3264637-21,chr12,3264376,3264819
Merged-chr12-3265404-1,chr12,3265304,3265504
Merged-chr12-3265719-1,chr12,3265619,3265819
Merged-chr12-3269958-1,chr12,3269858,3270058
Merged-chr12-3270925-3,chr12,3270792,3271043
Merged-chr12-3271468-1,chr12,3271368,3271568
Merged-chr12-3279271-19,chr12,3279034,3279433
Merged-chr12-3282829-1,chr12,3282729,3282929
Merged-chr12-3283138-16,chr12,3282973,3283290
Merged-chr12-3284096-20,chr12,3283930,3284383
Merged-chr12-3284754-1,chr12,3284654,3284854
Merged-chr12-3285290-3,chr12,3285169,3285412
Merged-chr12-3285611-2,chr12,3285509,3285713
Merged-chr12-3286924-1,chr12,3286824,3287024
Merged-chr12-3289967-3,chr12,3289860,3290080
Merged-chr12-3291194-9,chr12,3291060,3291330
Merged-chr12-3292836-1,chr12,3292736,3292936
Merged-chr12-3294742-1,chr12,3294642,3294842
Merged-chr12-3297915-2,chr12,3297746,3298084
Merged-chr12-3299087-1,chr12,3298987,3299187
Merged-chr12-3299811-1,chr12,3299711,3299911
Merged-chr12-3300187-1,chr12,3300087,3300287
Merged-chr12-3301511-5,chr12,3301309,3301668
Merged-chr12-3302202-1,chr12,3302102,3302302
Merged-chr12-3303187-1,chr12,3303087,3303287
Merged-chr12-3304054-1,chr12,3303954,3304154
Merged-chr12-3305432-1,chr12,3305332,3305532
Merged-chr12-3308467-2,chr12,3308309,3308625
Merged-chr12-3309957-68,chr12,3309742,3310224
Merged-chr12-3313119-2,chr12,3313014,3313224
Merged-chr12-3322418-41,chr12,3322235,3322677
Merged-chr12-3326019-1,chr12,3325919,3326119
Merged-chr12-3339088-54,chr12,3338799,3339294
Merged-chr12-3339662-2,chr12,3339518,3339806
Merged-chr12-3349571-4,chr12,3349408,3349745
Merged-chr12-3353275-2,chr12,3353089,3353461
Merged-chr12-3357024-51,chr12,3356772,3357158
Merged-chr12-3359434-35,chr12,3359268,3359628
Merged-chr12-3365216-61,chr12,3364995,3365500
Merged-chr12-3365815-1,chr12,3365715,3365915
Merged-chr12-3372175-6,chr12,3372043,3372321
Merged-chr12-3374574-1,chr12,3374474,3374674
Merged-chr12-3377381-31,chr12,3377222,3377511
Merged-chr12-3378388-1,chr12,3378288,3378488
Merged-chr12-3379488-1,chr12,3379388,3379588
Merged-chr12-3381300-1,chr12,3381200,3381400
Merged-chr12-3384385-1,chr12,3384285,3384485
Merged-chr12-3385275-2,chr12,3385103,3385447
Merged-chr12-3386446-1,chr12,3386346,3386546
Merged-chr12-3388375-2,chr12,3388182,3388569
Merged-chr12-3390287-1,chr12,3390187,3390387
Merged-chr12-3391086-43,chr12,3390939,3391265
Merged-chr12-3394184-1,chr12,3394084,3394284
Merged-chr12-3397076-1,chr12,3396976,3397176
Merged-chr12-3398907-6,chr12,3398777,3399043
Merged-chr12-3401129-1,chr12,3401029,3401229
Merged-chr12-3401755-1,chr12,3401655,3401855
Merged-chr12-3402185-1,chr12,3402085,3402285
Merged-chr12-3402765-1,chr12,3402665,3402865
Merged-chr12-3403132-1,chr12,3403032,3403232
Merged-chr12-3403386-1,chr12,3403286,3403486
Merged-chr12-3404239-1,chr12,3404139,3404339
Merged-chr12-3409407-1,chr12,3409307,3409507
Merged-chr12-3409997-1,chr12,3409897,3410097
Merged-chr12-3419419-1,chr12,3419319,3419519
Merged-chr12-3421802-1,chr12,3421702,3421902
