gene_name,chrom,txStart,txEnd
Selenop,chr15,3170766,3380510
Ccdc152,chr15,3180626,3403526
Ghr,chr15,3217754,3683352
Fbxo4,chr15,3863563,4079573
AW549877,chr15,3882034,4095752
A630020A06,chr15,3896038,4115858
BC037032,chr15,3920110,4127406
Oxct1,chr15,3926427,4255344
Plcxd3,chr15,4275490,4675579
C6,chr15,4627209,4904045
Mroh2b,chr15,4798736,5062201
C7,chr15,4888761,5163773
Card6,chr15,4997438,5208533
Rpl37,chr15,5016612,5219140
Snord72,chr15,5018420,5218480
Prkaa1,chr15,5043860,5281899
Ttc33,chr15,5085559,5318332
Ptger4,chr15,5133398,5344187
5430437J10Rik,chr15,5396317,5694983
Dab2,chr15,6199788,6540709
C9,chr15,6345332,6598476
Fyb,chr15,6479846,6765608
Rictor,chr15,6608380,6900400
Osmr,chr15,6713576,6974313
Lifr,chr15,7029571,7297489
Egflam,chr15,7106119,7498395
Gdnf,chr15,7710047,7937580
Wdr70,chr15,7773054,8199209
Nup155,chr15,8009312,8259859
2410089E03Rik,chr15,8069105,8371158
Nipbl,chr15,8189823,8544463
Slc1a3,chr15,8534123,8810807
Ranbp3l,chr15,8867948,9167333
Nadk2,chr15,8971259,9210496
Skp2,chr15,9011981,9255425
Lmbrd2,chr15,9040569,9297450
Ugt3a1,chr15,9179828,9415036
Ugt3a2,chr15,9235597,9470870
Capsl,chr15,9336027,9566035
Il7r,chr15,9406158,9629876
Spef2,chr15,9478192,9848868
Prlr,chr15,10077237,10449180
Agxt2,chr15,10258532,10510153
Dnajc21,chr15,10346762,10570516
Brix1,chr15,10374778,10585937
Rad1,chr15,10386017,10599063
Ttc23l,chr15,10403946,10658668
Rai14,chr15,10468977,10814631
Gm10389,chr15,10500292,10711651
4930556M19Rik,chr15,10614835,10890123
Gm19276,chr15,10729050,10932713
C1qtnf3,chr15,10852331,11080162
Amacr,chr15,10881755,11096624
Slc45a2,chr15,10900720,11129233
Rxfp3,chr15,10933716,11137968
Adamts12,chr15,10964772,11449232
Tars,chr15,11283662,11499658
Npr3,chr15,11739895,12007371
Gm5144,chr15,11806524,12007390
1700047G03Rik,chr15,11867061,12070083
Sub1,chr15,11881338,12096007
Zfr,chr15,12017850,12285449
Mir1898,chr15,12071491,12271574
Mtmr12,chr15,12105093,12372240
Golph3,chr15,12221495,12451267
Pdzd2,chr15,12257053,12692556
6030458C11Rik,chr15,12708176,12924657
Drosha,chr15,12724814,13035291
Cdh6,chr15,12928698,13273675
Cdh9,chr15,16678100,16956777
4921515E04Rik,chr15,17978136,18469627
Cdh10,chr15,18718946,19114236
Acot10,chr15,20565213,20766750
Cdh12,chr15,21011451,21689533
Gm5803,chr15,22613819,22814984
Cdh18,chr15,22936462,23574418
Basp1,chr15,25263276,25513764
Gm5468,chr15,25314191,25552418
Myo10,chr15,25522549,25913671
Fam134b,chr15,25743297,26073696
Mir7212,chr15,25848226,26048287
Zfp622,chr15,25884365,26098482
11-Mar,chr15,26209047,26509575
Fbxl7,chr15,26440458,26995564
Ank,chr15,27366676,27694907
Mir7117,chr15,27471493,27671558
Otulin,chr15,27505920,27730693
Fam105a,chr15,27555070,27781542
Trio,chr15,27630648,28125848
Dnah5,chr15,28103765,28572045
Ctnnd2,chr15,30072592,31129343
4930430F21Rik,chr15,30939125,31143331
Dap,chr15,31124384,31374338
Ankrd33b,chr15,31191478,31467759
Ropn1l,chr15,31341209,31553689
6-Mar,chr15,31355898,31631037
Cmbl,chr15,31468911,31690119
Cct5,chr15,31490799,31701846
Fam173b,chr15,31502115,31717535
Tas2r119,chr15,32077288,32278294
Snhg18,chr15,32140567,32344662
Snord123,chr15,32141844,32341932
Sema5a,chr15,32144812,32796341
Sdc2,chr15,32820722,33134721
Cpq,chr15,32983128,33694552
1700084J12Rik,chr15,33305208,33505939
4930592A05Rik,chr15,33493880,33753436
Tspyl5,chr15,33583874,33787883
Mtdh,chr15,33982718,34242385
Laptm4b,chr15,34138025,34384295
Matn2,chr15,34206680,34536240
9430069I07Rik,chr15,34249050,34457872
Gm12191,chr15,34340505,34543233
Rpl30,chr15,34340507,34543276
Erich5,chr15,34353311,34573892
Rida,chr15,34384021,34595246
Pop1,chr15,34395310,34630653
Nipal2,chr15,34472798,34778706
4930413F20Rik,chr15,34575072,34779204
Kcns2,chr15,34737354,34943407
Stk3,chr15,34775498,35255806
Osr2,chr15,35196111,35403305
BC048602,chr15,35207009,35428535
Vps13b,chr15,35271545,36031229
Mir599,chr15,35560830,35760918
Mir875,chr15,35560969,35761047
Cox6c,chr15,35831975,36038246
Rgs22,chr15,35909476,36240400
Fbxo43,chr15,36050059,36264884
Polr2k,chr15,36074009,36277012
Spag1,chr15,36079529,36335177
Rnf19a,chr15,36139933,36383147
Mir8097,chr15,36140045,36340164
Ankrd46,chr15,36377667,36596791
Snx31,chr15,36404061,36655572
Pabpc1,chr15,36495657,36708973
Ywhaz,chr15,36670261,36896929
Zfp706,chr15,36897026,37107402
Grhl2,chr15,37133035,37463568
Ncald,chr15,37266174,37892428
Gm15941,chr15,37321132,37532664
4930447A16Rik,chr15,37325553,37540644
Rrm2b,chr15,37823952,38061055
Ubr5,chr15,37867327,38178854
Odf1,chr15,38119202,38326735
Klf10,chr15,38191463,38400711
Azin1,chr15,38387429,38619266
Mir6951,chr15,38390472,38590547
2310043O21Rik,chr15,38449343,38694934
Atp6v1c1,chr15,38561903,38792444
Gm45924,chr15,38613482,38828516
Baalc,chr15,38833908,39052916
Fzd6,chr15,38906279,39138190
Cthrc1,chr15,38976931,39187119
Slc25a32,chr15,38994190,39212716
Dcaf13,chr15,39012873,39246855
Rims2,chr15,39098285,39784372
Dcstamp,chr15,39645929,39860938
Dpys,chr15,39668484,39957470
Gm16291,chr15,39697044,39912377
Lrp12,chr15,39770601,40043994
AU022793,chr15,39862648,40067515
9330182O14Rik,chr15,40034364,40250010
Gm16294,chr15,40411321,40627277
Zfpm2,chr15,40555041,41204592
Oxr1,chr15,41347481,41961047
Abra,chr15,41765292,41969720
Angpt1,chr15,42324666,42776977
Rspo2,chr15,42920794,43270818
Eif3e,chr15,43150039,43382736
Gm10373,chr15,43330942,43577036
Emc2,chr15,43377228,43627777
Tmem74,chr15,43766694,43970029
Trhr,chr15,44096134,44335912
Nudcd1,chr15,44275226,44528307
Eny2,chr15,44328110,44537685
Pkhd1l1,chr15,44357552,44697135
Ebag9,chr15,44519640,44741026
Sybu,chr15,44571855,44888063
2310069G16Rik,chr15,44687762,44905829
A930017M01Rik,chr15,44781393,44984743
Kcnv1,chr15,45006283,45214934
1700022A22Rik,chr15,46224584,46473899
4930523O13Rik,chr15,46335865,46596179
4930548G14Rik,chr15,46523304,46739858
Csmd3,chr15,47480637,48891989
Trps1,chr15,50554758,50990041
Mir1907,chr15,50789024,50989114
Gm19303,chr15,51131639,51495610
Eif3h,chr15,51686562,51965461
Utp23,chr15,51777440,51984622
