peak_name,chr,start,end,gene_number,gene_name
Merged-chr4-3050879-4,chr4,3050736,3051032,0,NA
Merged-chr4-3051591-1,chr4,3051491,3051691,0,NA
Merged-chr4-3051943-1,chr4,3051843,3052043,0,NA
Merged-chr4-3052366-5,chr4,3052153,3052541,0,NA
Merged-chr4-3052865-1,chr4,3052765,3052965,0,NA
Merged-chr4-3055134-1,chr4,3055034,3055234,0,NA
Merged-chr4-3056290-1,chr4,3056190,3056390,0,NA
Merged-chr4-3061897-1,chr4,3061797,3061997,0,NA
Merged-chr4-3062297-1,chr4,3062197,3062397,0,NA
Merged-chr4-3062606-3,chr4,3062450,3062789,0,NA
Merged-chr4-3064883-2,chr4,3064755,3065011,0,NA
Merged-chr4-3068878-1,chr4,3068778,3068978,0,NA
Merged-chr4-3069204-1,chr4,3069104,3069304,0,NA
Merged-chr4-3080240-1,chr4,3080140,3080340,1,Vmn1r2
Merged-chr4-3080605-2,chr4,3080484,3080727,1,Vmn1r2
Merged-chr4-3081058-5,chr4,3080747,3081387,1,Vmn1r2
Merged-chr4-3082404-1,chr4,3082304,3082504,1,Vmn1r2
Merged-chr4-3083020-1,chr4,3082920,3083120,1,Vmn1r2
Merged-chr4-3083512-7,chr4,3083331,3083687,1,Vmn1r2
Merged-chr4-3083868-3,chr4,3083768,3083968,1,Vmn1r2
Merged-chr4-3084147-2,chr4,3084031,3084264,1,Vmn1r2
Merged-chr4-3084564-9,chr4,3084346,3084839,1,Vmn1r2
Merged-chr4-3085702-4,chr4,3085515,3085916,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3089705-1,chr4,3089605,3089805,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3090606-1,chr4,3090506,3090706,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3091080-1,chr4,3090980,3091180,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3091448-26,chr4,3091197,3091643,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3137388-1,chr4,3137288,3137488,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3148075-9,chr4,3147934,3148243,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3165255-4,chr4,3165140,3165366,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3178708-1,chr4,3178608,3178808,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3181488-1,chr4,3181388,3181588,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3192448-10,chr4,3192322,3192597,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3200419-11,chr4,3200301,3200543,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3209873-6,chr4,3209714,3210006,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3212675-1,chr4,3212575,3212775,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3222140-1,chr4,3222040,3222240,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3225227-3,chr4,3225082,3225378,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3225522-1,chr4,3225422,3225622,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3226018-1,chr4,3225918,3226118,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3226709-4,chr4,3226398,3226942,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3228363-1,chr4,3228263,3228463,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3228660-4,chr4,3228485,3228822,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3229749-3,chr4,3229615,3229905,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3231207-1,chr4,3231107,3231307,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3236661-1,chr4,3236561,3236761,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3243529-1,chr4,3243429,3243629,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3249269-1,chr4,3249169,3249369,2,"Vmn1r2,Vmn1r3"
Merged-chr4-3351386-1,chr4,3351286,3351486,0,NA
Merged-chr4-3417918-1,chr4,3417818,3418018,0,NA
Merged-chr4-3419595-1,chr4,3419495,3419695,0,NA
Merged-chr4-3421763-1,chr4,3421663,3421863,0,NA
Merged-chr4-3422712-2,chr4,3422572,3422852,0,NA
Merged-chr4-3449904-2,chr4,3449734,3450075,2,"Mir3471-2,Tmem68"
Merged-chr4-3462695-1,chr4,3462595,3462795,2,"Mir3471-2,Tmem68"
Merged-chr4-3462961-1,chr4,3462861,3463061,2,"Mir3471-2,Tmem68"
Merged-chr4-3468250-1,chr4,3468150,3468350,2,"Mir3471-2,Tmem68"
Merged-chr4-3469441-1,chr4,3469341,3469541,2,"Mir3471-2,Tmem68"
Merged-chr4-3469872-1,chr4,3469772,3469972,2,"Mir3471-2,Tmem68"
Merged-chr4-3472544-1,chr4,3472444,3472644,2,"Mir3471-2,Tmem68"
Merged-chr4-3491530-1,chr4,3491430,3491630,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3492034-1,chr4,3491934,3492134,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3494478-2,chr4,3494369,3494588,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3496244-4,chr4,3496113,3496402,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3503862-1,chr4,3503762,3503962,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3504264-2,chr4,3504093,3504435,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3510926-1,chr4,3510826,3511026,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3529917-5,chr4,3529792,3530042,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3536235-1,chr4,3536135,3536335,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3548587-1,chr4,3548487,3548687,3,"Mir3471-2,Tmem68,Tgs1"
Merged-chr4-3559266-1,chr4,3559166,3559366,4,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik"
Merged-chr4-3560056-1,chr4,3559956,3560156,4,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik"
Merged-chr4-3560383-2,chr4,3560259,3560507,4,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik"
Merged-chr4-3563063-1,chr4,3562963,3563163,4,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik"
Merged-chr4-3564683-1,chr4,3564583,3564783,4,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik"
Merged-chr4-3574852-61,chr4,3574630,3575062,4,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik"
Merged-chr4-3580730-1,chr4,3580630,3580830,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3581749-1,chr4,3581649,3581849,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3582127-1,chr4,3582027,3582227,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3587597-1,chr4,3587497,3587697,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3607393-44,chr4,3607228,3607553,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3608537-6,chr4,3608398,3608653,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3613492-1,chr4,3613392,3613592,5,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn"
Merged-chr4-3617211-1,chr4,3617111,3617311,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3617945-4,chr4,3617828,3618061,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3618560-2,chr4,3618440,3618681,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3620014-9,chr4,3619698,3620188,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3626915-6,chr4,3626746,3627116,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3627223-1,chr4,3627123,3627323,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3627632-1,chr4,3627532,3627732,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3629077-1,chr4,3628977,3629177,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3632033-1,chr4,3631933,3632133,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3636608-1,chr4,3636508,3636708,6,"Mir3471-2,Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3639989-2,chr4,3639801,3640178,5,"Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3647224-29,chr4,3647070,3647388,5,"Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
Merged-chr4-3648243-1,chr4,3648143,3648343,5,"Tmem68,Tgs1,2210414B05Rik,Lyn,6330407A03Rik"
