peak_name,chr,start,end
Merged-chr17-3003556-1,chr17,3003456,3003656
Merged-chr17-3005295-1,chr17,3005195,3005395
Merged-chr17-3007180-1,chr17,3007080,3007280
Merged-chr17-3008988-1,chr17,3008888,3009088
Merged-chr17-3009505-1,chr17,3009405,3009605
Merged-chr17-3010290-2,chr17,3010169,3010412
Merged-chr17-3014788-1,chr17,3014688,3014888
Merged-chr17-3016137-1,chr17,3016037,3016237
Merged-chr17-3018444-1,chr17,3018344,3018544
Merged-chr17-3018826-1,chr17,3018726,3018926
Merged-chr17-3020177-1,chr17,3020077,3020277
Merged-chr17-3020617-2,chr17,3020482,3020753
Merged-chr17-3027348-1,chr17,3027248,3027448
Merged-chr17-3029996-4,chr17,3029790,3030208
Merged-chr17-3032203-1,chr17,3032103,3032303
Merged-chr17-3033297-1,chr17,3033197,3033397
Merged-chr17-3033675-1,chr17,3033575,3033775
Merged-chr17-3036187-1,chr17,3036087,3036287
Merged-chr17-3036813-1,chr17,3036713,3036913
Merged-chr17-3037611-2,chr17,3037430,3037792
Merged-chr17-3054679-1,chr17,3054579,3054779
Merged-chr17-3055287-1,chr17,3055187,3055387
Merged-chr17-3055634-1,chr17,3055534,3055734
Merged-chr17-3056831-1,chr17,3056731,3056931
Merged-chr17-3061132-1,chr17,3061032,3061232
Merged-chr17-3075559-1,chr17,3075459,3075659
Merged-chr17-3076091-1,chr17,3075991,3076191
Merged-chr17-3077941-4,chr17,3077827,3078054
Merged-chr17-3079491-32,chr17,3079321,3079822
Merged-chr17-3080704-12,chr17,3080536,3080868
Merged-chr17-3081922-47,chr17,3081565,3082424
Merged-chr17-3082789-49,chr17,3082542,3083001
Merged-chr17-3084291-63,chr17,3083991,3084520
Merged-chr17-3084713-1,chr17,3084613,3084813
Merged-chr17-3085309-1,chr17,3085209,3085409
Merged-chr17-3092924-50,chr17,3092744,3093169
Merged-chr17-3099450-1,chr17,3099350,3099550
Merged-chr17-3100251-1,chr17,3100151,3100351
Merged-chr17-3102054-1,chr17,3101954,3102154
Merged-chr17-3102490-51,chr17,3102326,3102648
Merged-chr17-3103068-9,chr17,3102949,3103184
Merged-chr17-3105064-14,chr17,3104879,3105205
Merged-chr17-3107519-1,chr17,3107419,3107619
Merged-chr17-3114594-4,chr17,3114480,3114702
Merged-chr17-3114933-109,chr17,3114742,3115267
Merged-chr17-3115791-27,chr17,3115623,3115989
Merged-chr17-3120924-1,chr17,3120824,3121024
Merged-chr17-3121530-1,chr17,3121430,3121630
Merged-chr17-3122619-1,chr17,3122519,3122719
Merged-chr17-3122979-1,chr17,3122879,3123079
Merged-chr17-3124410-5,chr17,3124278,3124547
Merged-chr17-3126318-1,chr17,3126218,3126418
Merged-chr17-3129952-3,chr17,3129818,3130071
Merged-chr17-3130428-2,chr17,3130317,3130540
Merged-chr17-3135670-1,chr17,3135570,3135770
Merged-chr17-3136327-21,chr17,3136112,3136482
Merged-chr17-3138570-10,chr17,3138434,3138713
Merged-chr17-3142408-1,chr17,3142308,3142508
